Brucite, grr 3454, Pakistan, yellow color
2.27 mm, merged vis/nir
408.55, 1.3429
409.15, 1.337
409.75, 1.3283
410.35, 1.3207
410.95, 1.3126
411.56, 1.3036
412.16, 1.2934
412.76, 1.2834
413.36, 1.2724
413.97, 1.2632
414.57, 1.2517
415.17, 1.241
415.72, 1.2305
416.32, 1.22
416.92, 1.2097
417.53, 1.2013
418.13, 1.1915
418.73, 1.1838
419.33, 1.1767
419.93, 1.169
420.54, 1.1618
421.14, 1.1557
421.74, 1.1491
422.34, 1.1436
422.94, 1.1378
423.55, 1.132
424.15, 1.1254
424.75, 1.1189
425.35, 1.114
425.95, 1.1074
426.56, 1.1007
427.11, 1.0945
427.71, 1.0876
428.31, 1.0797
428.91, 1.0726
429.51, 1.0652
430.12, 1.0575
430.72, 1.0499
431.32, 1.0423
431.92, 1.0342
432.52, 1.0261
433.12, 1.0188
433.73, 1.0114
434.33, 1.0041
434.93, .9971
435.53, .9898
436.13, .9829
436.74, .9757
437.34, .9686
437.94, .9615
438.49, .9543
439.09, .9473
439.69, .9393
440.29, .9325
440.89, .9249
441.5, .9176
442.1, .9101
442.7, .9026
443.3, .8951
443.9, .8878
444.5, .8802
445.11, .8724
445.71, .865
446.31, .8578
446.91, .8504
447.51, .8434
448.12, .8361
448.72, .8286
449.32, .8217
449.86, .8145
450.47, .8075
451.07, .8008
451.67, .7938
452.27, .7868
452.87, .7795
453.47, .7725
454.08, .7655
454.68, .7588
455.28, .752
455.88, .7452
456.48, .738
457.08, .7309
457.69, .724
458.29, .7172
458.89, .7108
459.49, .7043
460.09, .6977
460.69, .6919
461.3, .6855
461.84, .6799
462.44, .6746
463.04, .6687
463.64, .6624
464.25, .6569
464.85, .6517
465.45, .6463
466.05, .6412
466.65, .6358
467.25, .6308
467.86, .6257
468.46, .6208
469.06, .6157
469.66, .6117
470.26, .607
470.86, .6025
471.47, .5981
472.07, .5939
472.67, .5898
473.21, .5859
473.81, .582
474.41, .5782
475.01, .5742
475.62, .5699
476.22, .5665
476.82, .5626
477.42, .5592
478.02, .556
478.62, .5527
479.22, .5495
479.83, .5464
480.43, .5431
481.03, .5401
481.63, .5372
482.23, .5347
482.83, .5324
483.43, .5294
484.04, .5267
484.58, .5243
485.18, .5223
485.78, .5198
486.38, .5173
486.98, .5153
487.58, .5131
488.18, .5109
488.78, .509
489.39, .5076
489.99, .5058
490.59, .5037
491.19, .5023
491.79, .5002
492.39, .4985
492.99, .4969
493.6, .4954
494.2, .4936
494.8, .4921
495.4, .4902
495.94, .4892
496.54, .4879
497.14, .4859
497.74, .4849
498.34, .4835
498.94, .4816
499.54, .4804
500.15, .4792
500.75, .478
501.35, .4768
501.95, .4756
502.55, .4742
503.15, .473
503.75, .4719
504.36, .471
504.96, .4698
505.56, .4686
506.16, .4673
506.76, .466
507.36, .4656
507.9, .4643
508.5, .4632
509.1, .4626
509.7, .4614
510.3, .4602
510.9, .4595
511.5, .4585
512.11, .4574
512.71, .4565
513.31, .4555
513.91, .4544
514.51, .4537
515.11, .4531
515.71, .452
516.31, .4512
516.91, .4504
517.52, .45
518.12, .4495
518.72, .4484
519.25, .4476
519.85, .4465
520.45, .4461
521.05, .4451
521.66, .4443
522.26, .4436
522.86, .4431
523.46, .4424
524.06, .4417
524.66, .4406
525.26, .4398
525.86, .4396
526.46, .4391
527.07, .4382
527.67, .4371
528.27, .4362
528.87, .4358
529.47, .4348
530.07, .4345
530.6, .4339
531.2, .4333
531.8, .4324
532.4, .4319
533.01, .4311
533.61, .4304
534.21, .4299
534.81, .4295
535.41, .4292
536.01, .4284
536.61, .4273
537.21, .4268
537.81, .4269
538.41, .4263
539.02, .4254
539.62, .4249
540.22, .4245
540.82, .4239
541.42, .4235
541.95, .4232
542.55, .4228
543.15, .422
543.75, .4212
544.35, .4209
544.95, .4199
545.55, .4194
546.15, .4192
546.76, .4185
547.36, .4179
547.96, .4169
548.56, .4167
549.16, .4165
549.76, .4156
550.36, .415
550.96, .4145
551.56, .4141
552.16, .414
552.76, .4138
553.37, .4124
553.89, .4121
554.49, .4116
555.09, .4108
555.69, .41
556.3, .4096
556.9, .4093
557.5, .4089
558.1, .4082
558.7, .4078
559.3, .4071
559.9, .4067
560.5, .4062
561.1, .4058
561.7, .405
562.3, .4045
562.9, .4041
563.51, .404
564.11, .4038
564.71, .4025
565.23, .4016
565.83, .402
566.43, .4014
567.03, .4009
567.63, .4001
568.23, .4
568.84, .3993
569.44, .3989
570.04, .3978
