Celestine, CIT 13378, Santa Levrada MIne, near Mapimi, Durango, Mexico
23.18 mm, E\\b = beta
380.38, 0.9571
380.94, 0.9626
381.54, 0.9728
382.15, 0.9820
382.75, 0.9862
383.35, 0.9932
383.95, 0.9999
384.55, 1.0058
385.16, 1.0084
385.76, 1.0096
386.36, 1.0148
386.96, 1.0128
387.57, 1.0120
388.17, 1.0128
388.77, 1.0149
389.37, 1.0177
389.98, 1.0187
390.58, 1.0205
391.18, 1.0220
391.78, 1.0250
392.34, 1.0279
392.94, 1.0313
393.54, 1.0339
394.14, 1.0375
394.75, 1.0418
395.35, 1.0458
395.95, 1.0477
396.55, 1.0532
397.15, 1.0562
397.76, 1.0585
398.36, 1.0620
398.96, 1.0634
399.56, 1.0650
400.17, 1.0657
400.77, 1.0671
401.37, 1.0682
401.97, 1.0699
402.57, 1.0716
403.18, 1.0722
403.73, 1.0713
404.33, 1.0723
404.93, 1.0769
405.54, 1.0787
406.14, 1.0797
406.74, 1.0811
407.34, 1.0824
407.94, 1.0845
408.55, 1.0862
409.15, 1.0881
409.75, 1.0865
410.35, 1.0899
410.95, 1.0924
411.56, 1.0916
412.16, 1.0913
412.76, 1.0916
413.36, 1.0918
413.97, 1.0913
414.57, 1.0905
415.17, 1.0889
415.72, 1.0881
416.32, 1.0884
416.92, 1.0890
417.53, 1.0883
418.13, 1.0887
418.73, 1.0896
419.33, 1.0894
419.93, 1.0895
420.54, 1.0899
421.14, 1.0906
421.74, 1.0913
422.34, 1.0917
422.94, 1.0932
423.55, 1.0931
424.15, 1.0936
424.75, 1.0943
425.35, 1.0962
425.95, 1.0952
426.56, 1.0950
427.11, 1.0957
427.71, 1.0936
428.31, 1.0919
428.91, 1.0916
429.51, 1.0900
430.12, 1.0892
430.72, 1.0879
431.32, 1.0853
431.92, 1.0834
432.52, 1.0819
433.12, 1.0802
433.73, 1.0794
434.33, 1.0767
434.93, 1.0713
435.53, 1.0711
436.13, 1.0746
436.74, 1.0739
437.34, 1.0738
437.94, 1.0737
438.49, 1.0723
439.09, 1.0715
439.69, 1.0711
440.29, 1.0705
440.89, 1.0705
441.5, 1.0690
442.1, 1.0675
442.7, 1.0672
443.3, 1.0653
443.9, 1.0642
444.5, 1.0632
445.11, 1.0622
445.71, 1.0603
446.31, 1.0591
446.91, 1.0573
447.51, 1.0562
448.12, 1.0538
448.72, 1.0528
449.32, 1.0514
449.86, 1.0499
450.47, 1.0482
451.07, 1.0471
451.67, 1.0454
452.27, 1.0446
452.87, 1.0437
453.47, 1.0427
454.08, 1.0408
454.68, 1.0390
455.28, 1.0380
455.88, 1.0369
456.48, 1.0359
457.08, 1.0343
457.69, 1.0320
458.29, 1.0304
458.89, 1.0296
459.49, 1.0284
460.09, 1.0271
460.69, 1.0258
461.3, 1.0248
461.84, 1.0232
462.44, 1.0214
463.04, 1.0193
463.64, 1.0177
464.25, 1.0164
464.85, 1.0145
465.45, 1.0129
466.05, 1.0121
