Enstatite, GRR  1087, Tanzania
0.991 mm, pol b = beta
395.35, 0.7831
395.95, 0.7806
396.55, 0.7830
397.15, 0.7807
397.76, 0.7760
398.36, 0.7732
398.96, 0.7704
399.56, 0.7659
400.17, 0.7643
400.77, 0.7613
401.37, 0.7581
401.97, 0.7569
402.57, 0.7539
403.18, 0.7530
403.73, 0.7489
404.33, 0.7469
404.93, 0.7435
405.54, 0.7408
406.14, 0.7376
406.74, 0.7348
407.34, 0.7318
407.94, 0.7294
408.55, 0.7279
409.15, 0.7254
409.75, 0.7232
410.35, 0.7205
410.95, 0.7173
411.56, 0.7139
412.16, 0.7114
412.76, 0.7083
413.36, 0.7060
413.97, 0.7038
414.57, 0.7008
415.17, 0.6986
415.72, 0.6956
416.32, 0.6928
416.92, 0.6906
417.53, 0.6888
418.13, 0.6871
418.73, 0.6851
419.33, 0.6841
419.93, 0.6831
420.54, 0.6826
421.14, 0.6826
421.74, 0.6822
422.34, 0.6823
422.94, 0.6827
423.55, 0.6835
424.15, 0.6839
424.75, 0.6846
425.35, 0.6837
425.95, 0.6820
426.56, 0.6793
427.11, 0.6758
427.71, 0.6711
428.31, 0.6663
428.91, 0.6610
429.51, 0.6559
430.12, 0.6507
430.72, 0.6457
431.32, 0.6405
431.92, 0.6355
432.52, 0.6311
433.12, 0.6270
433.73, 0.6232
434.33, 0.6197
434.93, 0.6164
435.53, 0.6134
436.13, 0.6109
436.74, 0.6086
437.34, 0.6064
437.94, 0.6048
438.49, 0.6033
439.09, 0.6019
439.69, 0.6006
440.29, 0.5995
440.89, 0.5988
441.5, 0.5982
442.1, 0.5980
442.7, 0.5982
443.3, 0.5984
443.9, 0.5987
444.5, 0.5990
445.11, 0.5984
445.71, 0.5980
446.31, 0.5974
446.91, 0.5964
447.51, 0.5950
448.12, 0.5936
448.72, 0.5922
449.32, 0.5908
449.86, 0.5893
450.47, 0.5879
451.07, 0.5866
451.67, 0.5854
452.27, 0.5843
452.87, 0.5834
453.47, 0.5826
454.08, 0.5818
454.68, 0.5811
455.28, 0.5803
455.88, 0.5789
456.48, 0.5773
457.08, 0.5756
457.69, 0.5737
458.29, 0.5716
458.89, 0.5694
459.49, 0.5673
460.09, 0.5653
460.69, 0.5630
461.3, 0.5611
461.84, 0.5594
462.44, 0.5576
463.04, 0.5559
463.64, 0.5543
464.25, 0.5527
464.85, 0.5513
465.45, 0.5501
466.05, 0.5490
466.65, 0.5480
467.25, 0.5468
467.86, 0.5456
468.46, 0.5440
469.06, 0.5416
469.66, 0.5386
470.26, 0.5352
470.86, 0.5320
471.47, 0.5288
472.07, 0.5258
472.67, 0.5231
