Enstatite. GRR 1087, Tanzania
0.662 mm, pol gamma = c, pale yellow
395.35, 0.5707
395.95, 0.5676
396.55, 0.5652
397.15, 0.5612
397.76, 0.5580
398.36, 0.5538
398.96, 0.5498
399.56, 0.5457
400.17, 0.5419
400.77, 0.5384
401.37, 0.5348
401.97, 0.5309
402.57, 0.5276
403.18, 0.5236
403.73, 0.5200
404.33, 0.5155
404.93, 0.5120
405.54, 0.5083
406.14, 0.5037
406.74, 0.5008
407.34, 0.4974
407.94, 0.4928
408.55, 0.4894
409.15, 0.4849
409.75, 0.4805
410.35, 0.4753
410.95, 0.4700
411.56, 0.4651
412.16, 0.4608
412.76, 0.4558
413.36, 0.4508
413.97, 0.4465
414.57, 0.4422
415.17, 0.4385
415.72, 0.4351
416.32, 0.4318
416.92, 0.4293
417.53, 0.4275
418.13, 0.4256
418.73, 0.4241
419.33, 0.4234
419.93, 0.4232
420.54, 0.4234
421.14, 0.4244
421.74, 0.4261
422.34, 0.4284
422.94, 0.4315
423.55, 0.4353
424.15, 0.4390
424.75, 0.4425
425.35, 0.4450
425.95, 0.4459
426.56, 0.4448
427.11, 0.4418
427.71, 0.4377
428.31, 0.4327
428.91, 0.4276
429.51, 0.4226
430.12, 0.4172
430.72, 0.4124
431.32, 0.4080
431.92, 0.4039
432.52, 0.4003
433.12, 0.3969
433.73, 0.3940
434.33, 0.3918
434.93, 0.3897
435.53, 0.3881
436.13, 0.3872
436.74, 0.3861
437.34, 0.3857
437.94, 0.3858
438.49, 0.3863
439.09, 0.3875
439.69, 0.3889
440.29, 0.3914
440.89, 0.3948
441.5, 0.3995
442.1, 0.4050
442.7, 0.4115
443.3, 0.4183
443.9, 0.4245
444.5, 0.4292
445.11, 0.4323
445.71, 0.4336
446.31, 0.4333
446.91, 0.4318
447.51, 0.4293
448.12, 0.4263
448.72, 0.4230
449.32, 0.4195
449.86, 0.4159
450.47, 0.4126
451.07, 0.4094
451.67, 0.4063
452.27, 0.4034
452.87, 0.4006
453.47, 0.3978
454.08, 0.3951
454.68, 0.3926
455.28, 0.3901
455.88, 0.3876
456.48, 0.3856
457.08, 0.3835
457.69, 0.3813
458.29, 0.3794
458.89, 0.3776
459.49, 0.3758
460.09, 0.3743
460.69, 0.3727
461.3, 0.3710
461.84, 0.3695
462.44, 0.3682
463.04, 0.3669
463.64, 0.3656
464.25, 0.3643
464.85, 0.3632
465.45, 0.3623
466.05, 0.3614
466.65, 0.3607
467.25, 0.3603
467.86, 0.3598
468.46, 0.3593
469.06, 0.3584
469.66, 0.3575
470.26, 0.3562
470.86, 0.3549
471.47, 0.3537
472.07, 0.3527
472.67, 0.3516
473.21, 0.3506
473.81, 0.3498
474.41, 0.3489
475.01, 0.3483
475.62, 0.3477
476.22, 0.3474
476.82, 0.3469
477.42, 0.3466
478.02, 0.3460
478.62, 0.3454
479.22, 0.3449
479.83, 0.3443
480.43, 0.3434
481.03, 0.3418
481.63, 0.3395
482.23, 0.3368
482.83, 0.3339
483.43, 0.3312
484.04, 0.3284
484.58, 0.3257
485.18, 0.3228
485.78, 0.3201
486.38, 0.3173
486.98, 0.3145
487.58, 0.3118
488.18, 0.3091
488.78, 0.3063
489.39, 0.3035
489.99, 0.3009
490.59, 0.2982
491.19, 0.2955
491.79, 0.2930
492.39, 0.2904
