Gaudefroyite, GRR 2833a, N'Chwaining MIne, Kalahari Field, South Africa, paler region 
0.022 mm, E perp c
380.38, 1.6236
380.94, 1.6208
381.54, 1.6542
382.15, 1.6636
382.75, 1.6856
383.35, 1.7103
383.95, 1.7386
384.55, 1.7780
385.16, 1.7714
385.76, 1.7814
386.36, 1.8172
386.96, 1.8423
387.57, 1.8313
388.17, 1.8342
388.77, 1.8255
389.37, 1.8431
389.98, 1.8716
390.58, 1.8359
391.18, 1.8785
391.78, 1.9009
392.34, 1.8884
392.94, 1.9065
393.54, 1.9307
394.14, 1.9499
394.75, 1.9463
395.35, 1.9790
395.95, 1.9855
396.55, 1.9926
397.15, 1.9969
397.76, 1.9979
398.36, 2.0060
398.96, 2.0413
399.56, 2.0431
400.17, 2.0378
400.77, 2.0468
401.37, 2.0601
401.97, 2.0448
402.57, 2.0350
403.18, 2.0547
403.73, 2.0499
404.33, 2.0186
404.93, 2.0332
405.54, 2.0380
406.14, 2.0194
406.74, 2.0065
407.34, 1.9899
407.94, 1.9811
408.55, 1.9734
409.15, 1.9625
409.75, 1.9530
410.35, 1.9464
410.95, 1.9265
411.56, 1.9228
412.16, 1.9093
412.76, 1.8944
413.36, 1.8741
413.97, 1.8502
414.57, 1.8365
415.17, 1.8133
415.72, 1.7955
416.32, 1.7836
416.92, 1.7701
417.53, 1.7451
418.13, 1.7279
418.73, 1.7138
419.33, 1.6980
419.93, 1.6801
420.54, 1.6632
421.14, 1.6486
421.74, 1.6349
422.34, 1.6216
422.94, 1.6058
423.55, 1.5860
424.15, 1.5733
424.75, 1.5592
425.35, 1.5427
425.95, 1.5315
426.56, 1.5170
427.11, 1.5031
427.71, 1.4873
428.31, 1.4736
428.91, 1.4594
429.51, 1.4475
430.12, 1.4339
430.72, 1.4205
431.32, 1.4080
431.92, 1.3957
432.52, 1.3832
433.12, 1.3724
433.73, 1.3605
434.33, 1.3489
434.93, 1.3387
435.53, 1.3279
436.13, 1.3178
436.74, 1.3077
437.34, 1.2975
437.94, 1.2882
438.49, 1.2792
439.09, 1.2697
439.69, 1.2599
440.29, 1.2511
440.89, 1.2430
441.5, 1.2344
442.1, 1.2261
442.7, 1.2175
443.3, 1.2093
443.9, 1.2009
444.5, 1.1930
445.11, 1.1849
445.71, 1.1768
446.31, 1.1695
446.91, 1.1617
447.51, 1.1545
448.12, 1.1470
448.72, 1.1404
449.32, 1.1336
449.86, 1.1267
450.47, 1.1202
451.07, 1.1135
451.67, 1.1075
452.27, 1.1014
452.87, 1.0949
453.47, 1.0892
454.08, 1.0828
454.68, 1.0767
455.28, 1.0706
455.88, 1.0647
456.48, 1.0588
457.08, 1.0534
457.69, 1.0480
458.29, 1.0423
458.89, 1.0365
459.49, 1.0312
460.09, 1.0258
460.69, 1.0206
461.3, 1.0153
461.84, 1.0104
462.44, 1.0055
463.04, 1.0008
463.64, 0.9960
464.25, 0.9918
464.85, 0.9873
465.45, 0.9832
466.05, 0.9786
466.65, 0.9743
467.25, 0.9703
467.86, 0.9661
468.46, 0.9619
469.06, 0.9579
469.66, 0.9539
470.26, 0.9497
470.86, 0.9456
471.47, 0.9418
472.07, 0.9376
472.67, 0.9335
473.21, 0.9291
473.81, 0.9249
474.41, 0.9211
475.01, 0.9173
475.62, 0.9140
476.22, 0.9106
476.82, 0.9079
477.42, 0.9053
478.02, 0.9031
478.62, 0.9013
479.22, 0.8996
479.83, 0.8979
480.43, 0.8965
481.03, 0.8954
481.63, 0.8945
482.23, 0.8934
482.83, 0.8930
483.43, 0.8925
484.04, 0.8923
484.58, 0.8922
485.18, 0.8923
485.78, 0.8929
486.38, 0.8939
486.98, 0.8951
487.58, 0.8968
488.18, 0.8993
488.78, 0.9022
489.39, 0.9051
489.99, 0.9087
490.59, 0.9127
491.19, 0.9171
491.79, 0.9218
492.39, 0.9270
492.99, 0.9323
493.6, 0.9381
494.2, 0.9436
494.8, 0.9497
495.4, 0.9551
495.94, 0.9604
496.54, 0.9651
497.14, 0.9689
497.74, 0.9713
498.34, 0.9722
498.94, 0.9707
499.54, 0.9671
500.15, 0.9618
500.75, 0.9545
501.35, 0.9463
501.95, 0.9377
502.55, 0.9290
503.15, 0.9209
503.75, 0.9131
504.36, 0.9061
504.96, 0.9000
505.56, 0.8941
506.16, 0.8890
506.76, 0.8840
507.36, 0.8794
507.9, 0.8747
508.5, 0.8705
509.1, 0.8663
509.7, 0.8624
510.3, 0.8587
510.9, 0.8551
511.5, 0.8516
512.11, 0.8485
512.71, 0.8454
513.31, 0.8426
513.91, 0.8401
514.51, 0.8377
515.11, 0.8353
515.71, 0.8333
516.31, 0.8312
516.91, 0.8291
517.52, 0.8271
518.12, 0.8254
518.72, 0.8235
519.25, 0.8213
519.85, 0.8191
520.45, 0.8170
521.05, 0.8146
521.66, 0.8120
522.26, 0.8094
522.86, 0.8067
523.46, 0.8040
524.06, 0.8011
524.66, 0.7983
525.26, 0.7954
525.86, 0.7927
526.46, 0.7897
527.07, 0.7868
527.67, 0.7840
528.27, 0.7811
528.87, 0.7783
529.47, 0.7757
530.07, 0.7727
530.6, 0.7699
531.2, 0.7671
531.8, 0.7643
532.4, 0.7617
533.01, 0.7593
533.61, 0.7566
534.21, 0.7543
534.81, 0.7524
535.41, 0.7503
536.01, 0.7482
536.61, 0.7458
537.21, 0.7431
537.81, 0.7407
538.41, 0.7383
539.02, 0.7355
539.62, 0.7328
540.22, 0.7302
540.82, 0.7272
541.42, 0.7245
541.95, 0.7222
542.55, 0.7199
543.15, 0.7177
543.75, 0.7158
544.35, 0.7138
544.95, 0.7117
545.55, 0.7099
546.15, 0.7079
546.76, 0.7058
547.36, 0.7038
547.96, 0.7020
548.56, 0.7009
549.16, 0.7005
549.76, 0.7011
550.36, 0.7035
550.96, 0.7088
551.56, 0.7171
552.16, 0.7285
552.76, 0.7414
553.37, 0.7544
553.89, 0.7655
554.49, 0.7735
555.09, 0.7785
555.69, 0.7795
556.3, 0.7759
556.9, 0.7674
557.5, 0.7535
558.1, 0.7361
558.7, 0.7178
559.3, 0.7006
559.9, 0.6861
560.5, 0.6743
561.1, 0.6653
561.7, 0.6580
562.3, 0.6521
562.9, 0.6479
563.51, 0.6441
564.11, 0.6407
564.71, 0.6380
565.23, 0.6354
565.83, 0.6329
566.43, 0.6307
567.03, 0.6288
567.63, 0.6268
568.23, 0.6249
568.84, 0.6233
569.44, 0.6217
570.04, 0.6202
570.64, 0.6187
571.24, 0.6172
571.84, 0.6159
572.44, 0.6144
573.04, 0.6136
573.64, 0.6125
574.24, 0.6114
574.84, 0.6103
575.44, 0.6092
576.04, 0.6082
576.57, 0.6072
577.17, 0.6064
577.77, 0.6055
578.37, 0.6045
578.97, 0.6036
579.57, 0.6027
580.17, 0.6018
580.77, 0.6007
581.37, 0.6000
581.97, 0.5991
582.57, 0.5985
583.17, 0.5977
583.77, 0.5970
584.37, 0.5960
584.98, 0.5953
585.58, 0.5946
586.18, 0.5941
586.78, 0.5933
587.38, 0.5929
587.9, 0.5922
588.5, 0.5915
589.1, 0.5908
589.7, 0.5900
590.3, 0.5895
590.9, 0.5888
591.5, 0.5883
592.1, 0.5877
592.7, 0.5871
593.3, 0.5865
593.9, 0.5858
594.5, 0.5852
595.1, 0.5846
595.7, 0.5840
596.31, 0.5833
596.91, 0.5828
597.51, 0.5823
598.11, 0.5815
598.71, 0.5810
599.31, 0.5805
599.83, 0.5801
600.43, 0.5795
601.03, 0.5791
601.63, 0.5783
602.23, 0.5776
602.83, 0.5771
603.43, 0.5766
604.03, 0.5761
604.63, 0.5754
605.23, 0.5749
605.83, 0.5743
606.43, 0.5735
607.03, 0.5731
607.63, 0.5722
608.23, 0.5718
608.83, 0.5712
609.43, 0.5709
610.03, 0.5700
610.63, 0.5694
611.15, 0.5689
611.75, 0.5680
612.35, 0.5673
612.95, 0.5670
613.55, 0.5667
614.15, 0.5659
614.75, 0.5651
615.35, 0.5644
615.95, 0.5639
616.55, 0.5631
617.15, 0.5626
617.75, 0.5620
618.35, 0.5614
618.95, 0.5605
619.55, 0.5598
620.15, 0.5590
620.75, 0.5583
621.36, 0.5577
621.96, 0.5572
622.47, 0.5566
623.07, 0.5559
623.67, 0.5554
624.27, 0.5547
624.87, 0.5538
625.47, 0.5531
625.98, 0.5525
626.58, 0.5519
627.17, 0.5513
627.77, 0.5507
628.37, 0.5500
628.96, 0.5494
629.56, 0.5484
630.16, 0.5475
630.75, 0.5471
631.35, 0.5465
631.94, 0.5459
632.54, 0.5448
633.14, 0.5442
633.73, 0.5434
634.33, 0.5427
634.93, 0.5418
635.52, 0.5410
636.12, 0.5405
636.71, 0.5395
637.31, 0.5388
637.91, 0.5380
638.5, 0.5372
639.1, 0.5367
639.69, 0.5358
640.29, 0.5348
640.89, 0.5340
641.48, 0.5334
642.08, 0.5327
642.68, 0.5319
643.27, 0.5310
643.87, 0.5303
644.46, 0.5295
645.06, 0.5289
645.66, 0.5282
646.25, 0.5270
646.85, 0.5262
647.45, 0.5252
648.04, 0.5242
648.64, 0.5233
649.23, 0.5225
649.83, 0.5215
650.43, 0.5206
651.02, 0.5199
651.62, 0.5190
652.21, 0.5181
652.81, 0.5174
653.41, 0.5164
654., 0.5154
654.6, 0.5145
655.2, 0.5136
655.79, 0.5126
656.39, 0.5117
656.98, 0.5108
657.57, 0.5099
658.17, 0.5088
658.77, 0.5080
659.36, 0.5070
659.96, 0.5063
660.55, 0.5057
661.15, 0.5050
661.75, 0.5040
662.34, 0.5030
662.94, 0.5022
663.53, 0.5011
664.13, 0.5001
664.73, 0.4991
665.32, 0.4983
665.92, 0.4974
666.51, 0.4966
667.11, 0.4956
667.71, 0.4946
668.3, 0.4937
668.9, 0.4928
669.5, 0.4918
670.09, 0.4911
670.69, 0.4899
671.28, 0.4889
671.88, 0.4882
672.48, 0.4873
673.07, 0.4861
673.67, 0.4850
674.26, 0.4838
674.86, 0.4833
675.46, 0.4824
676.05, 0.4813
676.65, 0.4804
677.24, 0.4794
677.84, 0.4784
678.44, 0.4776
679.03, 0.4765
679.63, 0.4755
680.22, 0.4745
680.82, 0.4735
681.42, 0.4723
682.01, 0.4714
682.61, 0.4707
683.21, 0.4694
683.8, 0.4683
684.4, 0.4674
684.99, 0.4663
685.59, 0.4655
686.19, 0.4647
686.78, 0.4635
687.37, 0.4626
687.96, 0.4616
688.56, 0.4604
689.15, 0.4595
689.75, 0.4585
690.35, 0.4576
690.94, 0.4567
691.54, 0.4556
692.13, 0.4545
692.73, 0.4540
693.33, 0.4530
693.92, 0.4519
694.52, 0.4510
695.11, 0.4500
695.71, 0.4489
696.31, 0.4481
696.9, 0.4473
697.5, 0.4462
698.09, 0.4449
698.69, 0.4441
699.29, 0.4432
699.88, 0.4420
700.48, 0.4408
701.07, 0.4397
701.67, 0.4387
702.27, 0.4376
702.86, 0.4369
703.46, 0.4357
704.05, 0.4345
704.65, 0.4334
705.25, 0.4321
705.84, 0.4308
706.44, 0.4297
707.03, 0.4287
707.63, 0.4274
708.23, 0.4266
708.82, 0.4255
709.42, 0.4246
710.01, 0.4235
710.61, 0.4224
711.21, 0.4214
711.8, 0.4205
712.4, 0.4194
712.99, 0.4185
713.59, 0.4175
714.19, 0.4164
714.78, 0.4156
715.38, 0.4144
715.97, 0.4131
716.57, 0.4119
717.17, 0.4108
717.74, 0.4099
718.34, 0.4092
718.94, 0.4079
719.53, 0.4065
720.13, 0.4055
720.72, 0.4045
721.32, 0.4033
721.91, 0.4023
722.51, 0.4013
723.11, 0.4002
723.7, 0.3991
724.3, 0.3981
724.89, 0.3975
725.49, 0.3962
726.09, 0.3950
726.68, 0.3942
727.28, 0.3932
727.87, 0.3924
728.47, 0.3917
729.07, 0.3904
729.66, 0.3893
730.26, 0.3885
730.85, 0.3877
731.45, 0.3870
732.05, 0.3860
732.64, 0.3851
733.24, 0.3839
733.83, 0.3830
734.43, 0.3824
735.02, 0.3811
735.62, 0.3802
736.22, 0.3791
736.81, 0.3782
737.41, 0.3773
738., 0.3761
738.6, 0.3750
739.2, 0.3739
739.79, 0.3731
740.39, 0.3721
740.98, 0.3712
741.58, 0.3701
742.18, 0.3693
742.77, 0.3683
743.37, 0.3668
743.96, 0.3662
744.56, 0.3654
745.15, 0.3643
745.75, 0.3637
746.35, 0.3628
746.94, 0.3618
747.52, 0.3609
748.11, 0.3601
748.71, 0.3592
749.3, 0.3584
749.9, 0.3577
750.49, 0.3568
751.09, 0.3556
751.69, 0.3546
752.28, 0.3538
752.88, 0.3531
753.47, 0.3523
754.07, 0.3512
754.67, 0.3501
755.26, 0.3494
755.86, 0.3487
756.45, 0.3480
757.05, 0.3472
757.64, 0.3462
758.24, 0.3448
758.84, 0.3443
759.43, 0.3434
760.03, 0.3426
760.62, 0.3416
761.22, 0.3408
761.81, 0.3397
762.41, 0.3389
763.01, 0.3382
763.6, 0.3373
764.2, 0.3363
764.79, 0.3354
765.39, 0.3343
765.99, 0.3337
766.58, 0.3330
767.18, 0.3323
767.77, 0.3315
768.37, 0.3308
768.96, 0.3298
769.56, 0.3292
770.16, 0.3286
770.75, 0.3279
771.35, 0.3270
771.94, 0.3259
772.54, 0.3252
773.14, 0.3245
773.73, 0.3240
774.33, 0.3231
774.92, 0.3224
775.52, 0.3217
776.11, 0.3209
776.71, 0.3201
777.31, 0.3193
777.87, 0.3187
778.47, 0.3179
779.07, 0.3169
779.66, 0.3161
780.26, 0.3154
780.85, 0.3145
781.45, 0.3138
782.04, 0.3130
782.64, 0.3120
783.23, 0.3113
783.83, 0.3106
784.43, 0.3098
785.02, 0.3094
785.62, 0.3084
786.21, 0.3079
786.81, 0.3072
787.4, 0.3061
788., 0.3052
788.6, 0.3048
789.19, 0.3042
789.79, 0.3033
