Gaudefroyite, GRR 2833a, N'Chwaining MIne, Kalahari Field, South Africa, paler region 
0.022 mm, E parallel c
380.38, 2.1281
380.94, 2.1160
381.54, 2.2362
382.15, 2.2063
382.75, 2.2814
383.35, 2.2800
383.95, 2.2232
384.55, 2.2513
385.16, 2.2369
385.76, 2.2550
386.36, 2.2309
386.96, 2.3219
387.57, 2.2626
388.17, 2.3537
388.77, 2.2952
389.37, 2.3065
389.98, 2.2946
390.58, 2.2718
391.18, 2.2749
391.78, 2.3311
392.34, 2.2893
392.94, 2.3674
393.54, 2.3020
394.14, 2.3755
394.75, 2.3815
395.35, 2.3622
395.95, 2.3675
396.55, 2.3682
397.15, 2.4092
397.76, 2.3630
398.36, 2.3858
398.96, 2.4160
399.56, 2.4352
400.17, 2.4365
400.77, 2.4613
401.37, 2.4179
401.97, 2.4369
402.57, 2.4352
403.18, 2.4879
403.73, 2.4208
404.33, 2.4173
404.93, 2.4479
405.54, 2.4523
406.14, 2.4203
406.74, 2.4183
407.34, 2.4160
407.94, 2.4011
408.55, 2.4162
409.15, 2.4204
409.75, 2.4236
410.35, 2.4246
410.95, 2.4222
411.56, 2.3999
412.16, 2.4085
412.76, 2.4231
413.36, 2.4240
413.97, 2.3760
414.57, 2.3918
415.17, 2.3826
415.72, 2.3649
416.32, 2.3635
416.92, 2.3762
417.53, 2.3510
418.13, 2.3564
418.73, 2.3480
419.33, 2.3429
419.93, 2.3414
420.54, 2.3153
421.14, 2.3243
421.74, 2.3414
422.34, 2.3421
422.94, 2.3306
423.55, 2.3266
424.15, 2.3184
424.75, 2.3232
425.35, 2.3108
425.95, 2.3060
426.56, 2.3199
427.11, 2.3071
427.71, 2.3002
428.31, 2.2901
428.91, 2.2884
429.51, 2.2793
430.12, 2.2762
430.72, 2.2662
431.32, 2.2662
431.92, 2.2486
432.52, 2.2394
433.12, 2.2434
433.73, 2.2378
434.33, 2.2186
434.93, 2.2244
435.53, 2.2159
436.13, 2.2105
436.74, 2.2072
437.34, 2.2030
437.94, 2.1884
438.49, 2.1920
439.09, 2.1874
439.69, 2.1770
440.29, 2.1758
440.89, 2.1723
441.5, 2.1687
442.1, 2.1614
442.7, 2.1615
443.3, 2.1505
443.9, 2.1456
444.5, 2.1399
445.11, 2.1340
445.71, 2.1269
446.31, 2.1238
446.91, 2.1123
447.51, 2.1045
448.12, 2.0993
448.72, 2.0930
449.32, 2.0834
449.86, 2.0749
450.47, 2.0676
451.07, 2.0594
451.67, 2.0523
452.27, 2.0442
452.87, 2.0344
453.47, 2.0271
454.08, 2.0166
454.68, 2.0085
455.28, 2.0012
455.88, 1.9876
456.48, 1.9769
457.08, 1.9700
457.69, 1.9569
458.29, 1.9451
458.89, 1.9329
459.49, 1.9215
460.09, 1.9104
460.69, 1.8983
461.3, 1.8846
461.84, 1.8728
462.44, 1.8610
463.04, 1.8488
463.64, 1.8364
464.25, 1.8255
464.85, 1.8152
465.45, 1.8043
466.05, 1.7939
466.65, 1.7815
467.25, 1.7696
467.86, 1.7575
468.46, 1.7455
469.06, 1.7324
469.66, 1.7209
470.26, 1.7077
470.86, 1.6954
471.47, 1.6835
472.07, 1.6718
472.67, 1.6593
473.21, 1.6482
473.81, 1.6381
474.41, 1.6285
475.01, 1.6216
475.62, 1.6149
476.22, 1.6079
476.82, 1.6025
477.42, 1.5987
478.02, 1.5957
478.62, 1.5928
479.22, 1.5906
479.83, 1.5868
480.43, 1.5853
481.03, 1.5840
481.63, 1.5833
482.23, 1.5829
482.83, 1.5843
483.43, 1.5866
484.04, 1.5911
484.58, 1.5977
485.18, 1.6072
485.78, 1.6201
