Quartz, grr 2918 Jack Rabbit Claim, Teller Co., Colorado, smoky
5.788 mm, E parallel c
380.38, 1.5201
380.94, 1.4209
381.54, 1.5334
382.15, 1.5431
382.75, 1.4552
383.35, 1.4256
383.95, 1.4893
384.55, 1.5123
385.16, 1.4346
385.76, 1.4422
386.36, 1.4946
386.96, 1.4964
387.57, 1.4234
388.17, 1.4323
388.77, 1.4493
389.37, 1.4963
389.98, 1.4665
390.58, 1.4338
391.18, 1.4687
391.78, 1.4829
392.34, 1.4424
392.94, 1.4262
393.54, 1.4451
394.14, 1.4644
394.75, 1.4433
395.35, 1.4277
395.95, 1.4685
396.55, 1.4553
397.15, 1.4481
397.76, 1.4469
398.36, 1.4729
398.96, 1.4627
399.56, 1.4558
400.17, 1.4485
400.77, 1.4607
401.37, 1.4636
401.97, 1.4530
402.57, 1.4517
403.18, 1.4630
403.73, 1.4642
404.33, 1.4636
404.93, 1.4582
405.54, 1.4705
406.14, 1.4666
406.74, 1.4582
407.34, 1.4613
407.94, 1.4662
408.55, 1.4718
409.15, 1.4632
409.75, 1.4633
410.35, 1.4774
410.95, 1.4734
411.56, 1.4666
412.16, 1.4785
412.76, 1.4788
413.36, 1.4788
413.97, 1.4718
414.57, 1.4731
415.17, 1.4791
415.72, 1.4775
416.32, 1.4722
416.92, 1.4797
417.53, 1.4838
418.13, 1.4877
418.73, 1.4820
419.33, 1.4831
419.93, 1.4866
420.54, 1.4888
421.14, 1.4864
421.74, 1.4882
422.34, 1.4912
422.94, 1.4949
423.55, 1.4919
424.15, 1.4905
424.75, 1.4976
425.35, 1.4985
425.95, 1.4979
426.56, 1.4958
427.11, 1.5008
427.71, 1.5023
428.31, 1.4986
428.91, 1.4996
429.51, 1.5020
430.12, 1.5024
430.72, 1.4984
431.32, 1.5020
431.92, 1.5050
432.52, 1.5054
433.12, 1.5031
433.73, 1.5035
434.33, 1.5051
434.93, 1.5067
435.53, 1.5050
436.13, 1.5060
436.74, 1.5097
437.34, 1.5057
437.94, 1.5056
438.49, 1.5079
439.09, 1.5100
439.69, 1.5097
440.29, 1.5068
440.89, 1.5092
441.5, 1.5116
442.1, 1.5090
442.7, 1.5080
443.3, 1.5076
443.9, 1.5112
444.5, 1.5116
445.11, 1.5100
445.71, 1.5096
446.31, 1.5085
446.91, 1.5107
447.51, 1.5095
448.12, 1.5094
448.72, 1.5090
449.32, 1.5101
449.86, 1.5070
450.47, 1.5082
451.07, 1.5079
451.67, 1.5076
452.27, 1.5066
452.87, 1.5051
453.47, 1.5070
454.08, 1.5067
454.68, 1.5048
455.28, 1.5041
455.88, 1.5041
456.48, 1.5050
457.08, 1.5030
457.69, 1.5025
458.29, 1.5032
458.89, 1.5027
459.49, 1.4994
460.09, 1.4985
460.69, 1.4998
461.3, 1.4990
461.84, 1.4967
462.44, 1.4954
463.04, 1.4950
463.64, 1.4939
464.25, 1.4931
464.85, 1.4912
465.45, 1.4913
466.05, 1.4899
466.65, 1.4870
467.25, 1.4855
467.86, 1.4859
468.46, 1.4851
469.06, 1.4815
469.66, 1.4805
470.26, 1.4796
470.86, 1.4792
471.47, 1.4763
472.07, 1.4754
472.67, 1.4744
473.21, 1.4728
473.81, 1.4701
474.41, 1.4682
475.01, 1.4673
475.62, 1.4668
476.22, 1.4646
476.82, 1.4620
477.42, 1.4598
478.02, 1.4584
478.62, 1.4554
479.22, 1.4546
479.83, 1.4533
480.43, 1.4512
481.03, 1.4475
481.63, 1.4446
482.23, 1.4437
482.83, 1.4422
483.43, 1.4396
484.04, 1.4365
484.58, 1.4344
485.18, 1.4322
485.78, 1.4286
486.38, 1.4263
486.98, 1.4250
487.58, 1.4223
488.18, 1.4193
488.78, 1.4166
489.39, 1.4143
489.99, 1.4114
490.59, 1.4090
491.19, 1.4064
491.79, 1.4051
492.39, 1.4015
492.99, 1.3982
493.6, 1.3943
494.2, 1.3929
494.8, 1.3911
495.4, 1.3879
495.94, 1.3849
496.54, 1.3823
497.14, 1.3786
497.74, 1.3755
498.34, 1.3730
498.94, 1.3701
499.54, 1.3682
500.15, 1.3649
500.75, 1.3615
501.35, 1.3579
501.95, 1.3552
502.55, 1.3523
503.15, 1.3492
503.75, 1.3471
504.36, 1.3440
504.96, 1.3402
505.56, 1.3365
506.16, 1.3329
506.76, 1.3297
507.36, 1.3268
507.9, 1.3240
508.5, 1.3211
509.1, 1.3179
509.7, 1.3142
510.3, 1.3102
510.9, 1.3073
511.5, 1.3046
512.11, 1.3016
512.71, 1.2985
513.31, 1.2955
513.91, 1.2924
514.51, 1.2882
515.11, 1.2848
515.71, 1.2818
516.31, 1.2793
516.91, 1.2760
517.52, 1.2730
518.12, 1.2697
518.72, 1.2663
519.25, 1.2623
519.85, 1.2588
520.45, 1.2561
521.05, 1.2531
521.66, 1.2503
522.26, 1.2469
522.86, 1.2436
523.46, 1.2402
524.06, 1.2366
524.66, 1.2333
525.26, 1.2304
525.86, 1.2279
526.46, 1.2248
527.07, 1.2215
527.67, 1.2181
528.27, 1.2147
528.87, 1.2111
529.47, 1.2078
530.07, 1.2053
530.6, 1.2029
531.2, 1.1998
531.8, 1.1966
532.4, 1.1933
533.01, 1.1901
533.61, 1.1865
534.21, 1.1832
534.81, 1.1808
535.41, 1.1783
536.01, 1.1756
536.61, 1.1727
537.21, 1.1698
537.81, 1.1665
538.41, 1.1629
539.02, 1.1598
539.62, 1.1574
540.22, 1.1551
540.82, 1.1524
541.42, 1.1500
541.95, 1.1473
542.55, 1.1441
543.15, 1.1409
543.75, 1.1382
544.35, 1.1352
544.95, 1.1330
545.55, 1.1305
546.15, 1.1282
546.76, 1.1257
547.36, 1.1232
547.96, 1.1203
548.56, 1.1172
549.16, 1.1150
549.76, 1.1125
550.36, 1.1102
550.96, 1.1079
551.56, 1.1058
552.16, 1.1034
552.76, 1.1005
553.37, 1.0977
553.89, 1.0954
554.49, 1.0930
555.09, 1.0909
555.69, 1.0892
556.3, 1.0872
556.9, 1.0852
557.5, 1.0827
558.1, 1.0801
558.7, 1.0779
559.3, 1.0756
559.9, 1.0732
560.5, 1.0714
561.1, 1.0699
561.7, 1.0685
562.3, 1.0662
562.9, 1.0642
563.51, 1.0621
564.11, 1.0603
564.71, 1.0582
565.23, 1.0560
565.83, 1.0545
566.43, 1.0530
567.03, 1.0515
567.63, 1.0499
568.23, 1.0484
568.84, 1.0464
569.44, 1.0445
570.04, 1.0427
570.64, 1.0412
571.24, 1.0396
571.84, 1.0381
572.44, 1.0369
573.04, 1.0355
573.64, 1.0344
574.24, 1.0330
574.84, 1.0309
575.44, 1.0295
576.04, 1.0279
576.57, 1.0264
577.17, 1.0248
577.77, 1.0237
578.37, 1.0226
578.97, 1.0219
579.57, 1.0206
580.17, 1.0194
580.77, 1.0181
581.37, 1.0166
581.97, 1.0151
582.57, 1.0139
583.17, 1.0130
583.77, 1.0119
584.37, 1.0110
584.98, 1.0102
585.58, 1.0091
586.18, 1.0079
586.78, 1.0065
587.38, 1.0054
587.9, 1.0040
588.5, 1.0031
589.1, 1.0020
589.7, 1.0013
590.3, 1.0008
590.9, 1.0001
591.5, 0.9989
592.1, 0.9984
592.7, 0.9972
593.3, 0.9960
593.9, 0.9951
594.5, 0.9941
595.1, 0.9933
595.7, 0.9926
596.31, 0.9919
596.91, 0.9914
597.51, 0.9911
598.11, 0.9900
598.71, 0.9890
599.31, 0.9879
599.83, 0.9872
600.43, 0.9858
601.03, 0.9852
601.63, 0.9847
602.23, 0.9843
602.83, 0.9838
603.43, 0.9833
604.03, 0.9829
604.63, 0.9819
605.23, 0.9812
605.83, 0.9804
606.43, 0.9796
607.03, 0.9786
607.63, 0.9777
608.23, 0.9771
608.83, 0.9770
609.43, 0.9766
610.03, 0.9759
610.63, 0.9753
611.15, 0.9748
611.75, 0.9742
612.35, 0.9733
612.95, 0.9727
613.55, 0.9721
614.15, 0.9711
614.75, 0.9703
615.35, 0.9702
615.95, 0.9701
616.55, 0.9698
617.15, 0.9689
617.75, 0.9679
618.35, 0.9677
618.95, 0.9670
619.55, 0.9658
620.15, 0.9657
620.75, 0.9651
621.36, 0.9645
621.96, 0.9635
622.47, 0.9630
623.07, 0.9626
623.67, 0.9624
624.27, 0.9616
624.87, 0.9609
625.47, 0.9600
625.98, 0.9594
626.58, 0.9586
627.17, 0.9580
627.77, 0.9571
628.37, 0.9563
628.96, 0.9558
629.56, 0.9554
630.16, 0.9551
