Quartz, grr 2918, Jack Rabbit Claim, Teller Co., Colorado, smoky
5.788 mm, E perp c
380.94, 1.0453
381.54, 1.0811
382.15, 1.0728
382.75, 1.0566
383.35, 1.0445
383.95, 1.0697
384.55, 1.0729
385.16, 1.0544
385.76, 1.0612
386.36, 1.0576
386.96, 1.0619
387.57, 1.0419
388.17, 1.0484
388.77, 1.0563
389.37, 1.0608
389.98, 1.0521
390.58, 1.0498
391.18, 1.0527
391.78, 1.0573
392.34, 1.0462
392.94, 1.0335
393.54, 1.0459
394.14, 1.0501
394.75, 1.0410
395.35, 1.0377
395.95, 1.0441
396.55, 1.0430
397.15, 1.0370
397.76, 1.0415
398.36, 1.0429
398.96, 1.0414
399.56, 1.0390
400.17, 1.0369
400.77, 1.0358
401.37, 1.0395
401.97, 1.0362
402.57, 1.0313
403.18, 1.0376
403.73, 1.0406
404.33, 1.0377
404.93, 1.0336
405.54, 1.0353
406.14, 1.0360
406.74, 1.0327
407.34, 1.0325
407.94, 1.0357
408.55, 1.0318
409.15, 1.0295
409.75, 1.0287
410.35, 1.0325
410.95, 1.0304
411.56, 1.0285
412.16, 1.0297
412.76, 1.0292
413.36, 1.0302
413.97, 1.0277
414.57, 1.0265
415.17, 1.0262
415.72, 1.0269
416.32, 1.0238
416.92, 1.0264
417.53, 1.0257
418.13, 1.0258
418.73, 1.0231
419.33, 1.0227
419.93, 1.0236
420.54, 1.0229
421.14, 1.0230
421.74, 1.0222
422.34, 1.0225
422.94, 1.0234
423.55, 1.0211
424.15, 1.0217
424.75, 1.0215
425.35, 1.0216
425.95, 1.0215
426.56, 1.0199
427.11, 1.0215
427.71, 1.0221
428.31, 1.0194
428.91, 1.0190
429.51, 1.0201
430.12, 1.0197
430.72, 1.0186
431.32, 1.0185
431.92, 1.0193
432.52, 1.0184
433.12, 1.0184
433.73, 1.0180
434.33, 1.0180
434.93, 1.0179
435.53, 1.0169
436.13, 1.0172
436.74, 1.0173
437.34, 1.0176
437.94, 1.0170
438.49, 1.0167
439.09, 1.0170
439.69, 1.0166
440.29, 1.0165
440.89, 1.0156
441.5, 1.0163
442.1, 1.0158
442.7, 1.0150
443.3, 1.0155
443.9, 1.0157
444.5, 1.0155
445.11, 1.0153
445.71, 1.0153
446.31, 1.0148
446.91, 1.0151
447.51, 1.0147
448.12, 1.0139
448.72, 1.0145
449.32, 1.0148
449.86, 1.0141
450.47, 1.0138
451.07, 1.0141
451.67, 1.0142
452.27, 1.0134
452.87, 1.0133
453.47, 1.0134
454.08, 1.0131
454.68, 1.0132
455.28, 1.0133
455.88, 1.0127
456.48, 1.0133
457.08, 1.0126
457.69, 1.0120
458.29, 1.0121
458.89, 1.0126
459.49, 1.0120
460.09, 1.0114
460.69, 1.0114
461.3, 1.0110
461.84, 1.0107
462.44, 1.0104
463.04, 1.0106
463.64, 1.0102
464.25, 1.0097
464.85, 1.0092
465.45, 1.0093
466.05, 1.0089
466.65, 1.0084
467.25, 1.0082
467.86, 1.0075
468.46, 1.0075
469.06, 1.0062
469.66, 1.0066
470.26, 1.0065
470.86, 1.0062
471.47, 1.0053
472.07, 1.0045
472.67, 1.0045
473.21, 1.0042
473.81, 1.0038
474.41, 1.0034
475.01, 1.0027
475.62, 1.0026
476.22, 1.0021
476.82, 1.0015
477.42, 1.0012
478.02, 1.0012
478.62, 0.9998
479.22, 0.9994
479.83, 0.9990
480.43, 0.9984
481.03, 0.9978
481.63, 0.9969
482.23, 0.9967
482.83, 0.9962
483.43, 0.9949
484.04, 0.9942
484.58, 0.9938
485.18, 0.9932
485.78, 0.9922
486.38, 0.9913
486.98, 0.9904
487.58, 0.9894
488.18, 0.9890
488.78, 0.9884
489.39, 0.9877
489.99, 0.9865
490.59, 0.9851
491.19, 0.9841
491.79, 0.9836
492.39, 0.9827
492.99, 0.9821
493.6, 0.9809
494.2, 0.9803
494.8, 0.9792
495.4, 0.9777
495.94, 0.9772
496.54, 0.9765
497.14, 0.9756
497.74, 0.9746
498.34, 0.9736
498.94, 0.9720
499.54, 0.9713
500.15, 0.9703
500.75, 0.9694
501.35, 0.9686
501.95, 0.9675
502.55, 0.9663
503.15, 0.9648
503.75, 0.9641
504.36, 0.9627
504.96, 0.9613
505.56, 0.9601
506.16, 0.9593
506.76, 0.9580
507.36, 0.9566
507.9, 0.9552
508.5, 0.9538
509.1, 0.9527
