Ringwoodite, S Jacobsen ring111b, synthetic
0.047 mm, (111) orientation
390.33, 2.4397
390.92, 2.2173
391.52, 2.2775
392.12, 2.2264
392.72, 2.2041
393.32, 2.8443
393.91, 2.1489
394.51, 2.0478
395.11, 2.0162
395.71, 2.2011
396.3, 2.0999
396.9, 1.9826
397.5, 1.9699
398.1, 1.9919
398.69, 1.7790
399.34, 1.8910
399.94, 1.9757
400.54, 1.9636
401.14, 1.8686
401.73, 1.8898
402.33, 1.8893
402.93, 1.8967
403.53, 1.8954
404.13, 1.8690
404.72, 1.8381
405.32, 1.8759
405.92, 1.9039
406.52, 1.8359
407.12, 1.8198
407.71, 1.8085
408.31, 1.8276
408.91, 1.7937
409.51, 1.8196
410.1, 1.8261
410.7, 1.7757
411.3, 1.7974
411.9, 1.7866
412.5, 1.7829
413.09, 1.7826
413.69, 1.7935
414.29, 1.7621
414.89, 1.7500
415.48, 1.7364
416.08, 1.7535
416.68, 1.7526
417.28, 1.7435
417.88, 1.7250
418.47, 1.7465
419.07, 1.7191
419.67, 1.7351
420.27, 1.7270
420.86, 1.7145
421.46, 1.7176
422.06, 1.7110
422.66, 1.6946
423.26, 1.7080
423.85, 1.6937
424.45, 1.7130
425.05, 1.6952
425.65, 1.6993
426.3, 1.7020
426.9, 1.6972
427.5, 1.6902
428.09, 1.6930
428.69, 1.6833
429.29, 1.6868
429.89, 1.6751
430.49, 1.6810
431.08, 1.6782
431.68, 1.6694
432.28, 1.6691
432.88, 1.6742
433.48, 1.6751
434.07, 1.6768
434.67, 1.6707
435.27, 1.6677
435.87, 1.6711
436.46, 1.6703
437.06, 1.6595
437.66, 1.6620
438.26, 1.6695
438.86, 1.6705
439.45, 1.6710
440.05, 1.6704
440.65, 1.6736
441.25, 1.6748
441.85, 1.6702
442.44, 1.6728
443.04, 1.6731
443.64, 1.6797
444.24, 1.6751
444.84, 1.6758
445.43, 1.6762
446.03, 1.6775
446.63, 1.6805
447.23, 1.6843
447.83, 1.6864
448.42, 1.6839
449.02, 1.6903
449.62, 1.6867
450.22, 1.6943
450.81, 1.6981
451.41, 1.6954
452.01, 1.7047
452.61, 1.7003
453.27, 1.7074
453.86, 1.7096
454.46, 1.7127
455.06, 1.7167
455.66, 1.7190
456.26, 1.7206
456.85, 1.7265
457.45, 1.7248
458.05, 1.7326
458.65, 1.7312
459.25, 1.7346
459.84, 1.7385
460.44, 1.7471
461.04, 1.7449
461.64, 1.7480
462.24, 1.7526
462.83, 1.7559
463.43, 1.7590
464.03, 1.7609
464.63, 1.7667
465.23, 1.7697
465.82, 1.7689
466.42, 1.7796
467.02, 1.7852
467.62, 1.7825
468.22, 1.7847
468.81, 1.7918
469.41, 1.7950
470.01, 1.8008
470.61, 1.8083
471.21, 1.8115
471.8, 1.8117
472.4, 1.8162
473., 1.8176
473.6, 1.8220
474.2, 1.8292
474.79, 1.8333
475.39, 1.8394
475.99, 1.8427
476.59, 1.8444
477.19, 1.8510
477.78, 1.8540
478.38, 1.8599
478.98, 1.8650
479.64, 1.8683
480.24, 1.8739
480.84, 1.8719
481.44, 1.8826
482.04, 1.8894
482.63, 1.8937
483.23, 1.8964
483.83, 1.8975
484.43, 1.9023
485.03, 1.9108
485.62, 1.9130
486.22, 1.9212
486.82, 1.9250
487.42, 1.9289
488.02, 1.9336
488.61, 1.9449
489.21, 1.9484
489.81, 1.9498
490.41, 1.9582
491.01, 1.9627
491.61, 1.9675
492.2, 1.9737
492.8, 1.9748
493.4, 1.9873
494., 1.9965
494.6, 1.9979
495.19, 2.0017
495.79, 2.0043
496.39, 2.0156
496.99, 2.0220
497.59, 2.0263
498.18, 2.0341
498.78, 2.0425
499.38, 2.0448
499.98, 2.0558
500.58, 2.0621
501.17, 2.0696
501.77, 2.0743
502.37, 2.0738
502.97, 2.0822
503.57, 2.0899
504.17, 2.1019
504.76, 2.0960
505.36, 2.1080
505.96, 2.1084
506.63, 2.1197
507.23, 2.1229
507.82, 2.1310
508.42, 2.1317
509.02, 2.1429
509.62, 2.1469
510.22, 2.1562
510.81, 2.1602
511.41, 2.1687
512.01, 2.1706
512.61, 2.1800
513.21, 2.1832
513.81, 2.1888
514.4, 2.1945
515., 2.1994
515.6, 2.2079
516.2, 2.2120
516.8, 2.2192
517.39, 2.2233
517.99, 2.2307
518.59, 2.2375
519.19, 2.2400
519.79, 2.2487
520.39, 2.2555
520.98, 2.2610
521.58, 2.2630
522.18, 2.2739
522.78, 2.2703
523.38, 2.2766
523.97, 2.2845
524.57, 2.2889
525.17, 2.2917
525.77, 2.2989
526.37, 2.3105
526.97, 2.3149
527.56, 2.3190
528.16, 2.3226
528.76, 2.3304
529.36, 2.3353
529.96, 2.3331
530.56, 2.3412
531.15, 2.3466
531.75, 2.3547
532.35, 2.3585
532.95, 2.3631
533.62, 2.3648
534.22, 2.3683
534.82, 2.3758
535.41, 2.3745
536.01, 2.3814
536.61, 2.3778
537.21, 2.3936
537.81, 2.4036
538.41, 2.4019
539., 2.4004
539.6, 2.4111
540.2, 2.4163
540.8, 2.4226
541.4, 2.4262
542., 2.4255
542.59, 2.4291
543.19, 2.4411
543.79, 2.4299
544.39, 2.4409
544.99, 2.4544
545.59, 2.4515
546.18, 2.4541
546.78, 2.4598
547.38, 2.4635
547.98, 2.4636
548.58, 2.4705
549.18, 2.4786
549.77, 2.4840
550.37, 2.4825
550.97, 2.4847
551.57, 2.4944
552.17, 2.5018
552.77, 2.4996
553.36, 2.5026
553.96, 2.5093
554.56, 2.5085
555.16, 2.5159
555.76, 2.5160
556.36, 2.5162
556.95, 2.5197
557.55, 2.5255
558.15, 2.5253
558.75, 2.5291
559.35, 2.5463
560.02, 2.5392
560.62, 2.5444
561.22, 2.5458
561.82, 2.5443
562.42, 2.5507
563.02, 2.5439
563.61, 2.5525
564.21, 2.5603
564.81, 2.5640
565.41, 2.5631
566.01, 2.5731
566.61, 2.5806
567.2, 2.5788
567.8, 2.5828
568.4, 2.5861
569., 2.6024
569.6, 2.5888
570.2, 2.5846
570.79, 2.5978
571.39, 2.6050
571.99, 2.5961
572.59, 2.6071
573.19, 2.6112
573.79, 2.6101
574.38, 2.6064
574.98, 2.6205
575.58, 2.6292
576.18, 2.6266
576.78, 2.6157
577.38, 2.6284
577.98, 2.6305
578.57, 2.6292
579.17, 2.6364
579.77, 2.6387
580.37, 2.6458
580.97, 2.6440
581.57, 2.6467
582.16, 2.6507
582.76, 2.6473
583.36, 2.6510
583.96, 2.6532
584.56, 2.6527
585.16, 2.6620
585.75, 2.6720
586.35, 2.6660
587.03, 2.6570
587.63, 2.6808
588.23, 2.6808
588.83, 2.6793
589.43, 2.6873
590.03, 2.6938
590.63, 2.6850
591.22, 2.6899
591.82, 2.6796
592.42, 2.6896
593.02, 2.7008
593.62, 2.6948
594.22, 2.7073
594.81, 2.7130
595.41, 2.7116
596.01, 2.6932
596.61, 2.7086
597.21, 2.7222
597.81, 2.7028
598.41, 2.7167
599., 2.7128
599.6, 2.7087
600.2, 2.7266
600.8, 2.7430
601.4, 2.7141
602., 2.7335
602.59, 2.7398
603.19, 2.7405
603.79, 2.7370
604.39, 2.7491
