Ringwoodite, S Jacobsen ring111b, synthetic, through the inclusion
0.047 mm, (111) orientation
380.17, 1.0157
380.76, 1.0421
381.36, 1.0683
381.96, 1.0753
382.56, 1.0280
383.15, 1.0310
383.75, 1.0198
384.35, 1.0000
384.95, 1.0346
385.55, 0.9722
386.14, 0.9516
386.74, 0.9987
387.34, 1.0272
387.94, 1.0128
388.53, 0.9422
389.13, 0.9142
389.73, 0.9750
390.33, 0.9536
390.92, 0.9632
391.52, 0.9404
392.12, 0.9303
392.72, 0.9405
393.32, 0.9556
393.91, 0.9307
394.51, 0.9276
395.11, 0.9221
395.71, 0.9196
396.3, 0.9093
396.9, 0.8979
397.5, 0.9094
398.1, 0.8933
398.69, 0.8754
399.34, 0.8886
399.94, 0.8940
400.54, 0.8970
401.14, 0.8809
401.73, 0.8817
402.33, 0.8884
402.93, 0.8826
403.53, 0.8819
404.13, 0.8748
404.72, 0.8726
405.32, 0.8829
405.92, 0.8787
406.52, 0.8720
407.12, 0.8714
407.71, 0.8645
408.31, 0.8711
408.91, 0.8666
409.51, 0.8581
410.1, 0.8636
410.7, 0.8583
411.3, 0.8588
411.9, 0.8587
412.5, 0.8617
413.09, 0.8600
413.69, 0.8581
414.29, 0.8584
414.89, 0.8567
415.48, 0.8534
416.08, 0.8557
416.68, 0.8584
417.28, 0.8579
417.88, 0.8569
418.47, 0.8582
419.07, 0.8582
419.67, 0.8588
420.27, 0.8546
420.86, 0.8552
421.46, 0.8576
422.06, 0.8537
422.66, 0.8561
423.26, 0.8575
423.85, 0.8546
424.45, 0.8568
425.05, 0.8552
425.65, 0.8562
426.3, 0.8588
426.9, 0.8565
427.5, 0.8565
428.09, 0.8571
428.69, 0.8564
429.29, 0.8556
429.89, 0.8543
430.49, 0.8555
431.08, 0.8572
431.68, 0.8553
432.28, 0.8560
432.88, 0.8572
433.48, 0.8602
434.07, 0.8598
434.67, 0.8589
435.27, 0.8597
435.87, 0.8596
436.46, 0.8606
437.06, 0.8602
437.66, 0.8609
438.26, 0.8637
438.86, 0.8643
439.45, 0.8647
440.05, 0.8664
440.65, 0.8676
441.25, 0.8686
441.85, 0.8681
442.44, 0.8711
443.04, 0.8710
443.64, 0.8731
444.24, 0.8743
444.84, 0.8762
445.43, 0.8777
446.03, 0.8789
446.63, 0.8810
447.23, 0.8837
447.83, 0.8847
448.42, 0.8869
449.02, 0.8884
449.62, 0.8907
450.22, 0.8939
450.81, 0.8954
451.41, 0.8985
452.01, 0.9016
452.61, 0.9032
453.27, 0.9065
453.86, 0.9092
454.46, 0.9121
455.06, 0.9145
455.66, 0.9170
456.26, 0.9196
456.85, 0.9212
457.45, 0.9238
458.05, 0.9268
458.65, 0.9285
459.25, 0.9322
459.84, 0.9345
460.44, 0.9384
461.04, 0.9410
461.64, 0.9429
462.24, 0.9453
462.83, 0.9485
463.43, 0.9516
464.03, 0.9543
464.63, 0.9576
465.23, 0.9609
465.82, 0.9620
466.42, 0.9658
467.02, 0.9699
467.62, 0.9731
468.22, 0.9750
468.81, 0.9785
469.41, 0.9817
470.01, 0.9853
470.61, 0.9882
471.21, 0.9914
471.8, 0.9943
472.4, 0.9978
473., 1.0003
473.6, 1.0036
474.2, 1.0074
474.79, 1.0114
475.39, 1.0148
475.99, 1.0183
476.59, 1.0218
477.19, 1.0247
477.78, 1.0283
478.38, 1.0322
478.98, 1.0354
479.64, 1.0391
480.24, 1.0430
480.84, 1.0449
481.44, 1.0495
482.04, 1.0542
482.63, 1.0584
483.23, 1.0614
