Rutile, DV1 G raves Mtn, GA. orange
0.040 mm, E perp c = short (with thin glue layer)
475.01, 2.5381
475.62, 2.5223
476.22, 2.5170
476.82, 2.5107
477.42, 2.4892
478.02, 2.4739
478.62, 2.4704
479.22, 2.4477
479.83, 2.4401
480.43, 2.4188
481.03, 2.4011
481.63, 2.3871
482.23, 2.3768
482.83, 2.3545
483.43, 2.3380
484.04, 2.3164
484.58, 2.3032
485.18, 2.2880
485.78, 2.2691
486.38, 2.2416
486.98, 2.2254
487.58, 2.2120
488.18, 2.1914
488.78, 2.1747
489.39, 2.1525
489.99, 2.1384
490.59, 2.1193
491.19, 2.0999
491.79, 2.0840
492.39, 2.0655
492.99, 2.0488
493.6, 2.0290
494.2, 2.0163
494.8, 1.9967
495.4, 1.9811
495.94, 1.9617
496.54, 1.9443
497.14, 1.9299
497.74, 1.9109
498.34, 1.8964
498.94, 1.8781
499.54, 1.8611
500.15, 1.8444
500.75, 1.8281
501.35, 1.8139
501.95, 1.7979
502.55, 1.7834
503.15, 1.7658
503.75, 1.7519
504.36, 1.7372
504.96, 1.7209
505.56, 1.7057
506.16, 1.6921
506.76, 1.6774
507.36, 1.6628
507.9, 1.6476
508.5, 1.6333
509.1, 1.6195
509.7, 1.6050
510.3, 1.5909
510.9, 1.5773
511.5, 1.5628
512.11, 1.5494
512.71, 1.5356
513.31, 1.5224
513.91, 1.5089
514.51, 1.4954
515.11, 1.4827
515.71, 1.4697
516.31, 1.4572
516.91, 1.4444
517.52, 1.4321
518.12, 1.4201
518.72, 1.4077
519.25, 1.3957
519.85, 1.3836
520.45, 1.3726
521.05, 1.3608
521.66, 1.3495
522.26, 1.3377
522.86, 1.3265
523.46, 1.3155
524.06, 1.3044
524.66, 1.2936
525.26, 1.2829
525.86, 1.2721
526.46, 1.2616
527.07, 1.2511
527.67, 1.2407
528.27, 1.2303
528.87, 1.2201
529.47, 1.2096
530.07, 1.1995
530.6, 1.1893
531.2, 1.1793
531.8, 1.1696
532.4, 1.1603
533.01, 1.1505
533.61, 1.1410
534.21, 1.1315
534.81, 1.1226
535.41, 1.1134
536.01, 1.1045
536.61, 1.0953
537.21, 1.0864
537.81, 1.0779
538.41, 1.0693
539.02, 1.0606
539.62, 1.0521
540.22, 1.0440
540.82, 1.0360
541.42, 1.0277
541.95, 1.0196
542.55, 1.0113
543.15, 1.0039
543.75, 0.9959
544.35, 0.9887
544.95, 0.9806
545.55, 0.9733
546.15, 0.9656
546.76, 0.9583
547.36, 0.9510
547.96, 0.9433
548.56, 0.9363
549.16, 0.9287
549.76, 0.9216
550.36, 0.9142
550.96, 0.9073
