Rutile, DV1 G raves Mtn, GA. orange
0.040 mm, E \\c = long direction
490.59, 2.5335
491.19, 2.5156
491.79, 2.4954
492.39, 2.4762
492.99, 2.4509
493.6, 2.4366
494.2, 2.4205
494.8, 2.3951
495.4, 2.3743
495.94, 2.3534
496.54, 2.3343
497.14, 2.3182
497.74, 2.2910
498.34, 2.2729
498.94, 2.2538
499.54, 2.2303
500.15, 2.2079
500.75, 2.1895
501.35, 2.1701
501.95, 2.1487
502.55, 2.1315
503.15, 2.1090
503.75, 2.0928
504.36, 2.0733
504.96, 2.0502
505.56, 2.0320
506.16, 2.0134
506.76, 1.9938
507.36, 1.9739
507.9, 1.9550
508.5, 1.9355
509.1, 1.9186
509.7, 1.8985
510.3, 1.8804
510.9, 1.8631
511.5, 1.8435
512.11, 1.8251
512.71, 1.8068
513.31, 1.7896
513.91, 1.7727
514.51, 1.7548
515.11, 1.7370
515.71, 1.7217
516.31, 1.7040
516.91, 1.6878
517.52, 1.6719
518.12, 1.6551
518.72, 1.6397
519.25, 1.6246
519.85, 1.6091
520.45, 1.5935
521.05, 1.5793
521.66, 1.5635
522.26, 1.5487
522.86, 1.5346
523.46, 1.5204
524.06, 1.5055
524.66, 1.4917
525.26, 1.4775
525.86, 1.4631
526.46, 1.4502
527.07, 1.4364
527.67, 1.4228
528.27, 1.4091
528.87, 1.3962
529.47, 1.3828
530.07, 1.3691
530.6, 1.3566
531.2, 1.3436
531.8, 1.3316
532.4, 1.3196
533.01, 1.3071
533.61, 1.2947
534.21, 1.2833
534.81, 1.2720
535.41, 1.2607
536.01, 1.2494
536.61, 1.2383
537.21, 1.2276
537.81, 1.2166
538.41, 1.2061
539.02, 1.1956
539.62, 1.1855
540.22, 1.1753
540.82, 1.1656
541.42, 1.1552
541.95, 1.1455
542.55, 1.1357
543.15, 1.1259
543.75, 1.1166
544.35, 1.1072
544.95, 1.0977
545.55, 1.0882
546.15, 1.0789
546.76, 1.0701
547.36, 1.0612
547.96, 1.0520
548.56, 1.0431
549.16, 1.0343
549.76, 1.0255
550.36, 1.0171
550.96, 1.0090
551.56, 1.0005
552.16, 0.9923
552.76, 0.9842
553.37, 0.9765
553.89, 0.9682
554.49, 0.9609
555.09, 0.9529
555.69, 0.9456
556.3, 0.9376
556.9, 0.9306
557.5, 0.9235
558.1, 0.9165
558.7, 0.9095
559.3, 0.9029
559.9, 0.8959
560.5, 0.8891
561.1, 0.8830
561.7, 0.8764
562.3, 0.8704
562.9, 0.8639
563.51, 0.8577
564.11, 0.8513
564.71, 0.8457
565.23, 0.8396
565.83, 0.8338
566.43, 0.8284
567.03, 0.8222
567.63, 0.8170
568.23, 0.8108
568.84, 0.8054
569.44, 0.7998
570.04, 0.7944
570.64, 0.7890
571.24, 0.7834
571.84, 0.7787
572.44, 0.7732
573.04, 0.7688
573.64, 0.7635
574.24, 0.7582
574.84, 0.7533
575.44, 0.7484
576.04, 0.7442
576.57, 0.7389
577.17, 0.7348
577.77, 0.7301
578.37, 0.7257
578.97, 0.7220
579.57, 0.7173
580.17, 0.7141
580.77, 0.7095
581.37, 0.7058
581.97, 0.7021
582.57, 0.6980
583.17, 0.6952
583.77, 0.6908
584.37, 0.6879
584.98, 0.6842
585.58, 0.6805
586.18, 0.6779
586.78, 0.6737
587.38, 0.6712
587.9, 0.6677
588.5, 0.6643
589.1, 0.6616
589.7, 0.6575
590.3, 0.6550
590.9, 0.6518
591.5, 0.6485
592.1, 0.6463
592.7, 0.6419
593.3, 0.6392
593.9, 0.6363
594.5, 0.6328
595.1, 0.6309
595.7, 0.6272
596.31, 0.6246
596.91, 0.6222
597.51, 0.6186
598.11, 0.6166
598.71, 0.6135
599.31, 0.6109
599.83, 0.6091
600.43, 0.6055
601.03, 0.6038
601.63, 0.6016
602.23, 0.5982
602.83, 0.5972
603.43, 0.5938
604.03, 0.5920
604.63, 0.5910
605.23, 0.5872
605.83, 0.5859
606.43, 0.5840
607.03, 0.5812
607.63, 0.5804
608.23, 0.5783
608.83, 0.5758
609.43, 0.5753
610.03, 0.5724
610.63, 0.5710
611.15, 0.5699
611.75, 0.5669
612.35, 0.5661
612.95, 0.5645
613.55, 0.5617
614.15, 0.5612
614.75, 0.5589
615.35, 0.5568
615.95, 0.5564
616.55, 0.5538
617.15, 0.5522
617.75, 0.5515
618.35, 0.5490
618.95, 0.5478
619.55, 0.5472
620.15, 0.5443
620.75, 0.5433
621.36, 0.5422
621.96, 0.5393
622.47, 0.5390
623.07, 0.5380
623.67, 0.5353
624.27, 0.5349
624.87, 0.5335
625.47, 0.5309
625.98, 0.5298
626.58, 0.5291
627.17, 0.5283
627.77, 0.5251
628.37, 0.5254
628.96, 0.5243
629.56, 0.5218
630.16, 0.5218
630.75, 0.5205
631.35, 0.5179
631.94, 0.5182
632.54, 0.5170
633.14, 0.5145
633.73, 0.5150
634.33, 0.5140
634.93, 0.5116
635.52, 0.5117
636.12, 0.5105
636.71, 0.5082
637.31, 0.5088
637.91, 0.5079
638.5, 0.5055
639.1, 0.5058
639.69, 0.5059
640.29, 0.5030
640.89, 0.5036
641.48, 0.5039
642.08, 0.5013
642.68, 0.5013
643.27, 0.5023
643.87, 0.5002
644.46, 0.4994
645.06, 0.5001
645.66, 0.4980
646.25, 0.4971
646.85, 0.4981
647.45, 0.4969
648.04, 0.4950
648.64, 0.4963
649.23, 0.4949
649.83, 0.4928
650.43, 0.4937
651.02, 0.4933
651.62, 0.4909
652.21, 0.4911
652.81, 0.4913
653.41, 0.4885
654., 0.4878
654.6, 0.4888
655.2, 0.4866
655.79, 0.4855
656.39, 0.4863
656.98, 0.4850
657.57, 0.4828
658.17, 0.4835
658.77, 0.4834
659.36, 0.4808
659.96, 0.4803
660.55, 0.4809
661.15, 0.4789
661.75, 0.4777
662.34, 0.4787
662.94, 0.4780
663.53, 0.4755
664.13, 0.4758
664.73, 0.4763
665.32, 0.4745
665.92, 0.4741
666.51, 0.4751
667.11, 0.4736
667.71, 0.4720
668.3, 0.4733
668.9, 0.4730
669.5, 0.4709
670.09, 0.4711
670.69, 0.4720
671.28, 0.4699
671.88, 0.4689
672.48, 0.4700
673.07, 0.4702
673.67, 0.4682
674.26, 0.4684
674.86, 0.4697
675.46, 0.4680
676.05, 0.4669
676.65, 0.4676
677.24, 0.4677
677.84, 0.4656
678.44, 0.4657
679.03, 0.4668
679.63, 0.4655
680.22, 0.4640
680.82, 0.4650
681.42, 0.4659
682.01, 0.4639
682.61, 0.4631
683.21, 0.4648
683.8, 0.4643
684.4, 0.4620
684.99, 0.4622
685.59, 0.4635
686.19, 0.4625
686.78, 0.4611
687.37, 0.4625
687.96, 0.4629
688.56, 0.4608
689.15, 0.4601
689.75, 0.4616
690.35, 0.4610
690.94, 0.4587
691.54, 0.4588
692.13, 0.4603
692.73, 0.4593
693.33, 0.4576
693.92, 0.4583
694.52, 0.4594
695.11, 0.4574
695.71, 0.4560
696.31, 0.4573
696.9, 0.4575
697.5, 0.4557
698.09, 0.4544
698.69, 0.4557
699.29, 0.4560
699.88, 0.4536
700.48, 0.4533
701.07, 0.4543
701.67, 0.4538
702.27, 0.4515
702.86, 0.4510
703.46, 0.4525
704.05, 0.4520
704.65, 0.4498
705.25, 0.4503
705.84, 0.4511
706.44, 0.4498
707.03, 0.4477
707.63, 0.4482
708.23, 0.4493
708.82, 0.4487
709.42, 0.4469
710.01, 0.4472
710.61, 0.4484
711.21, 0.4474
711.8, 0.4455
712.4, 0.4458
712.99, 0.4470
713.59, 0.4464
714.19, 0.4446
714.78, 0.4452
715.38, 0.4465
715.97, 0.4458
716.57, 0.4445
717.17, 0.4445
717.74, 0.4460
718.34, 0.4455
718.94, 0.4438
719.53, 0.4439
720.13, 0.4456
720.72, 0.4456
721.32, 0.4435
721.91, 0.4436
722.51, 0.4453
723.11, 0.4452
723.7, 0.4433
724.3, 0.4425
724.89, 0.4442
725.49, 0.4448
726.09, 0.4432
726.68, 0.4421
727.28, 0.4434
727.87, 0.4440
728.47, 0.4429
729.07, 0.4412
729.66, 0.4418
730.26, 0.4430
730.85, 0.4425
731.45, 0.4406
732.05, 0.4406
732.64, 0.4422
733.24, 0.4421
733.83, 0.4404
734.43, 0.4395
735.02, 0.4405
735.62, 0.4410
736.22, 0.4394
736.81, 0.4381
737.41, 0.4384
738., 0.4397
738.6, 0.4390
739.2, 0.4373
739.79, 0.4374
740.39, 0.4386
740.98, 0.4386
741.58, 0.4367
742.18, 0.4357
742.77, 0.4371
743.37, 0.4379
743.96, 0.4366
744.56, 0.4350
745.15, 0.4352
745.75, 0.4368
746.35, 0.4366
746.94, 0.4345
747.52, 0.4340
748.11, 0.4355
748.71, 0.4360
749.3, 0.4344
749.9, 0.4332
750.49, 0.4335
751.09, 0.4346
751.69, 0.4343
752.28, 0.4328
752.88, 0.4319
753.47, 0.4330
754.07, 0.4338
754.67, 0.4328
755.26, 0.4312
755.86, 0.4307
756.45, 0.4319
757.05, 0.4324
757.64, 0.4305
758.24, 0.4291
758.84, 0.4300
759.43, 0.4310
760.03, 0.4307
760.62, 0.4288
761.22, 0.4281
761.81, 0.4293
762.41, 0.4302
763.01, 0.4291
763.6, 0.4276
764.2, 0.4275
764.79, 0.4286
765.39, 0.4292
765.99, 0.4284
766.58, 0.4268
767.18, 0.4272
767.77, 0.4286
768.37, 0.4281
768.96, 0.4265
769.56, 0.4259
770.16, 0.4270
770.75, 0.4283
771.35, 0.4280
771.94, 0.4265
772.54, 0.4257
773.14, 0.4268
773.73, 0.4285
774.33, 0.4278
774.92, 0.4262
775.52, 0.4257
776.11, 0.4272
776.71, 0.4282
777.31, 0.4278
777.87, 0.4260
778.47, 0.4261
779.07, 0.4270
779.66, 0.4277
780.26, 0.4271
780.85, 0.4260
781.45, 0.4256
782.04, 0.4267
782.64, 0.4277
783.23, 0.4272
783.83, 0.4253
784.43, 0.4251
785.02, 0.4266
785.62, 0.4275
786.21, 0.4260
786.81, 0.4244
787.4, 0.4242
788., 0.4261
788.6, 0.4267
789.19, 0.4260
789.79, 0.4239
790.38, 0.4230
790.98, 0.4240
791.57, 0.4253
792.17, 0.4247
792.77, 0.4228
793.36, 0.4221
793.96, 0.4225
794.55, 0.4238
795.15, 0.4240
795.74, 0.4221
796.34, 0.4209
796.94, 0.4213
797.53, 0.4223
798.13, 0.4222
798.72, 0.4205
799.32, 0.4186
799.91, 0.4186
800.51, 0.4201
801.11, 0.4206
801.7, 0.4201
802.3, 0.4188
802.89, 0.4179
803.49, 0.4185
804.08, 0.4194
804.68, 0.4191
805.28, 0.4173
805.87, 0.4162
806.47, 0.4169
807.06, 0.4185
807.63, 0.4189
808.22, 0.4172
808.82, 0.4154
809.41, 0.4157
810.01, 0.4168
810.6, 0.4174
811.2, 0.4170
811.79, 0.4149
812.39, 0.4139
812.99, 0.4155
813.58, 0.4167
814.18, 0.4164
814.77, 0.4149
815.37, 0.4139
815.96, 0.4143
816.56, 0.4158
817.16, 0.4166
817.75, 0.4157
818.35, 0.4143
818.94, 0.4139
819.54, 0.4150
820.13, 0.4157
820.73, 0.4158
821.32, 0.4143
821.92, 0.4129
822.52, 0.4127
823.11, 0.4143
823.71, 0.4149
824.3, 0.4140
824.9, 0.4122
825.49, 0.4120
826.09, 0.4133
826.68, 0.4144
827.28, 0.4146
827.88, 0.4136
828.47, 0.4119
829.07, 0.4116
829.66, 0.4127
830.26, 0.4136
830.85, 0.4128
831.45, 0.4120
832.05, 0.4108
832.64, 0.4113
833.24, 0.4130
833.83, 0.4136
834.43, 0.4128
835.02, 0.4110
835.62, 0.4103
836.21, 0.4113
836.81, 0.4129
837.41, 0.4135
837.96, 0.4125
838.56, 0.4113
839.15, 0.4111
839.75, 0.4114
840.35, 0.4125
840.94, 0.4131
841.54, 0.4121
842.13, 0.4109
842.73, 0.4105
843.32, 0.4115
843.92, 0.4130
844.51, 0.4136
845.11, 0.4124
845.7, 0.4108
846.3, 0.4102
846.9, 0.4112
847.49, 0.4135
848.09, 0.4134
848.68, 0.4116
849.28, 0.4100
849.87, 0.4099
850.47, 0.4110
851.06, 0.4125
851.66, 0.4128
852.26, 0.4115
852.85, 0.4100
853.45, 0.4098
854.04, 0.4113
854.64, 0.4127
855.23, 0.4128
855.83, 0.4116
856.42, 0.4101
857.02, 0.4090
857.61, 0.4101
858.21, 0.4114
858.81, 0.4122
859.4, 0.4108
860., 0.4087
860.59, 0.4081
861.19, 0.4086
861.78, 0.4100
862.38, 0.4107
862.97, 0.4097
863.57, 0.4081
864.17, 0.4069
864.76, 0.4069
865.36, 0.4086
865.95, 0.4094
866.55, 0.4089
867.14, 0.4075
867.74, 0.4058
868.29, 0.4052
868.89, 0.4063
869.48, 0.4079
870.08, 0.4078
870.67, 0.4066
871.27, 0.4045
871.86, 0.4031
872.46, 0.4035
873.05, 0.4056
873.65, 0.4062
874.24, 0.4055
874.84, 0.4040
875.44, 0.4025
876.03, 0.4020
876.63, 0.4029
877.22, 0.4051
877.82, 0.4050
878.41, 0.4039
879.01, 0.4017
879.6, 0.4000
880.2, 0.4002
880.79, 0.4032
881.39, 0.4050
881.98, 0.4037
882.58, 0.4022
883.18, 0.4004
883.77, 0.4001
884.37, 0.4014
884.96, 0.4035
885.56, 0.4046
886.15, 0.4024
886.75, 0.4002
887.34, 0.3988
887.94, 0.3991
888.53, 0.4008
889.13, 0.4026
889.73, 0.4028
890.32, 0.4015
890.92, 0.3997
891.51, 0.3986
892.11, 0.3995
892.7, 0.4018
893.3, 0.4019
893.89, 0.4012
894.49, 0.3993
895.08, 0.3983
895.68, 0.3987
896.27, 0.4004
896.87, 0.4021
897.47, 0.4027
898.01, 0.4011
898.61, 0.3984
899.2, 0.3970
899.8, 0.3975
900.39, 0.3995
900.99, 0.4013
901.58, 0.4027
902.18, 0.4009
902.78, 0.3987
903.37, 0.3975
903.97, 0.3980
904.56, 0.3992
905.16, 0.4010
