Scheelite, GRR 3152, Ping Wu (?), Sichuan Province, China
3.624 mm, E parallel c
360.55, 2.0268
361.15, 1.4394
361.75, 1.5045
362.35, 1.6293
362.96, 1.5425
363.56, 1.3955
364.16, 1.5104
364.76, 1.4589
365.37, 1.6117
365.97, 1.6443
366.57, 1.5646
367.17, 1.6096
367.78, 1.7193
368.38, 1.6653
368.98, 1.5410
369.54, 1.4875
370.14, 1.7743
370.75, 1.6441
371.35, 1.8393
371.95, 1.5577
372.55, 1.6996
373.15, 1.6200
373.76, 1.6717
374.36, 1.7030
374.96, 1.7731
375.56, 1.6252
376.17, 1.5718
376.77, 1.7915
377.37, 1.6761
377.97, 1.6990
378.58, 1.6607
379.18, 1.6753
379.78, 1.7878
380.38, 1.7789
380.94, 1.6756
381.54, 1.7243
382.15, 1.8213
382.75, 1.7706
383.35, 1.7035
383.95, 1.7964
384.55, 1.8002
385.16, 1.7776
385.76, 1.7157
386.36, 1.7470
386.96, 1.7564
387.57, 1.7386
388.17, 1.6993
388.77, 1.7425
389.37, 1.7319
389.98, 1.7230
390.58, 1.7027
391.18, 1.7191
391.78, 1.7289
392.34, 1.6905
392.94, 1.6690
393.54, 1.6834
394.14, 1.7156
394.75, 1.6647
395.35, 1.6503
395.95, 1.6809
396.55, 1.6888
397.15, 1.6496
397.76, 1.6492
398.36, 1.6717
398.96, 1.6624
399.56, 1.6422
400.17, 1.6412
400.77, 1.6433
401.37, 1.6365
401.97, 1.6289
402.57, 1.6277
403.18, 1.6250
403.73, 1.6149
404.33, 1.6069
404.93, 1.6073
405.54, 1.6083
406.14, 1.6055
406.74, 1.5885
407.34, 1.5922
407.94, 1.5945
408.55, 1.5831
409.15, 1.5728
409.75, 1.5655
410.35, 1.5628
410.95, 1.5658
411.56, 1.5583
412.16, 1.5504
412.76, 1.5515
413.36, 1.5492
413.97, 1.5408
414.57, 1.5355
415.17, 1.5353
415.72, 1.5320
416.32, 1.5266
416.92, 1.5210
417.53, 1.5219
418.13, 1.5173
418.73, 1.5128
419.33, 1.5063
419.93, 1.5055
420.54, 1.5061
421.14, 1.4976
421.74, 1.4930
422.34, 1.4925
422.94, 1.4859
423.55, 1.4856
424.15, 1.4790
424.75, 1.4759
425.35, 1.4757
425.95, 1.4713
426.56, 1.4652
427.11, 1.4654
427.71, 1.4603
428.31, 1.4569
428.91, 1.4534
429.51, 1.4538
430.12, 1.4481
430.72, 1.4436
431.32, 1.4400
431.92, 1.4376
432.52, 1.4355
433.12, 1.4308
433.73, 1.4263
434.33, 1.4261
434.93, 1.4227
435.53, 1.4175
436.13, 1.4134
436.74, 1.4110
437.34, 1.4070
437.94, 1.4027
438.49, 1.4003
439.09, 1.3972
439.69, 1.3953
440.29, 1.3902
440.89, 1.3871
441.5, 1.3842
442.1, 1.3828
442.7, 1.3784
443.3, 1.3742
443.9, 1.3733
444.5, 1.3705
445.11, 1.3663
445.71, 1.3640
446.31, 1.3625
446.91, 1.3594
447.51, 1.3571
448.12, 1.3563
448.72, 1.3563
449.32, 1.3565
449.86, 1.3562
450.47, 1.3526
451.07, 1.3475
451.67, 1.3418
452.27, 1.3356
452.87, 1.3317
453.47, 1.3294
454.08, 1.3259
454.68, 1.3206
455.28, 1.3168
455.88, 1.3131
456.48, 1.3098
457.08, 1.3074
457.69, 1.3031
458.29, 1.3008
458.89, 1.2979
459.49, 1.2939
460.09, 1.2911
460.69, 1.2881
461.3, 1.2847
461.84, 1.2823
462.44, 1.2793
463.04, 1.2777
463.64, 1.2750
464.25, 1.2715
464.85, 1.2688
465.45, 1.2665
466.05, 1.2644
466.65, 1.2610
467.25, 1.2579
467.86, 1.2561
468.46, 1.2532
469.06, 1.2505
469.66, 1.2483
470.26, 1.2463
470.86, 1.2438
471.47, 1.2409
472.07, 1.2389
472.67, 1.2366
473.21, 1.2347
473.81, 1.2328
474.41, 1.2307
475.01, 1.2296
475.62, 1.2277
476.22, 1.2236
476.82, 1.2201
477.42, 1.2169
478.02, 1.2136
478.62, 1.2104
479.22, 1.2085
479.83, 1.2067
480.43, 1.2048
481.03, 1.2015
481.63, 1.1979
482.23, 1.1949
482.83, 1.1923
483.43, 1.1899
484.04, 1.1872
484.58, 1.1855
485.18, 1.1854
485.78, 1.1877
486.38, 1.1926
486.98, 1.1903
487.58, 1.1813
488.18, 1.1756
488.78, 1.1719
489.39, 1.1681
489.99, 1.1649
490.59, 1.1603
491.19, 1.1572
491.79, 1.1542
492.39, 1.1522
492.99, 1.1499
493.6, 1.1476
494.2, 1.1453
