Ahrensite, type sample, gamma-Fe2SiO4, from the Tissinte meteorite
Thin section, spot where the IR data were taken
460.09, 2.9972
460.69, 2.9776
461.3, 2.7714
461.84, 2.6919
462.44, 2.6181
463.04, 2.5744
463.64, 2.5763
464.25, 2.4892
464.85, 2.4570
465.45, 2.4468
466.05, 2.4268
466.65, 2.4108
467.25, 2.3720
467.86, 2.3435
468.46, 2.3023
469.06, 2.2859
469.66, 2.2834
470.26, 2.2466
470.86, 2.2180
471.47, 2.2195
472.07, 2.1798
472.67, 2.1495
473.21, 2.1233
473.81, 2.1174
474.41, 2.1018
475.01, 2.0744
475.62, 2.0660
476.22, 2.0324
476.82, 2.0171
477.42, 1.9965
478.02, 1.9769
478.62, 1.9592
479.22, 1.9395
479.83, 1.9210
480.43, 1.9145
481.03, 1.8971
481.63, 1.8827
482.23, 1.8701
482.83, 1.8518
483.43, 1.8429
484.04, 1.8363
484.58, 1.8257
485.18, 1.8139
485.78, 1.8058
486.38, 1.7950
486.98, 1.7912
487.58, 1.7821
488.18, 1.7741
488.78, 1.7737
489.39, 1.7606
489.99, 1.7489
490.59, 1.7439
491.19, 1.7436
491.79, 1.7367
492.39, 1.7331
492.99, 1.7281
493.6, 1.7277
494.2, 1.7208
494.8, 1.7148
495.4, 1.7121
495.94, 1.7078
496.54, 1.7091
497.14, 1.6997
497.74, 1.6949
498.34, 1.6859
498.94, 1.6906
499.54, 1.6833
500.15, 1.6796
500.75, 1.6767
501.35, 1.6658
501.95, 1.6633
502.55, 1.6599
503.15, 1.6566
503.75, 1.6516
504.36, 1.6464
504.96, 1.6400
505.56, 1.6378
506.16, 1.6348
506.76, 1.6287
507.36, 1.6207
507.9, 1.6207
508.5, 1.6160
509.1, 1.6122
509.7, 1.6106
510.3, 1.6083
510.9, 1.6022
511.5, 1.6017
512.11, 1.5963
512.71, 1.5967
513.31, 1.5933
513.91, 1.5913
514.51, 1.5898
515.11, 1.5892
515.71, 1.5856
516.31, 1.5878
516.91, 1.5851
517.52, 1.5849
518.12, 1.5840
518.72, 1.5856
519.25, 1.5822
519.85, 1.5814
520.45, 1.5820
521.05, 1.5818
521.66, 1.5821
522.26, 1.5783
522.86, 1.5767
523.46, 1.5759
524.06, 1.5754
524.66, 1.5735
525.26, 1.5722
525.86, 1.5705
526.46, 1.5698
527.07, 1.5671
527.67, 1.5667
528.27, 1.5618
528.87, 1.5611
529.47, 1.5591
530.07, 1.5544
530.6, 1.5553
531.2, 1.5548
531.8, 1.5492
532.4, 1.5501
533.01, 1.5492
533.61, 1.5457
534.21, 1.5503
534.81, 1.5466
535.41, 1.5448
536.01, 1.5421
536.61, 1.5424
537.21, 1.5413
537.81, 1.5410
538.41, 1.5416
539.02, 1.5399
539.62, 1.5372
540.22, 1.5398
540.82, 1.5381
541.42, 1.5365
541.95, 1.5355
542.55, 1.5366
543.15, 1.5334
543.75, 1.5322
544.35, 1.5335
544.95, 1.5320
545.55, 1.5313
546.15, 1.5338
546.76, 1.5293
547.36, 1.5305
547.96, 1.5295
548.56, 1.5302
549.16, 1.5307
549.76, 1.5303
550.36, 1.5274
550.96, 1.5334
551.56, 1.5335
552.16, 1.5327
552.76, 1.5320
553.37, 1.5332
553.89, 1.5338
554.49, 1.5356
555.09, 1.5350
555.69, 1.5366
556.3, 1.5367
556.9, 1.5387
557.5, 1.5402
558.1, 1.5439
558.7, 1.5454
559.3, 1.5421
559.9, 1.5457
560.5, 1.5489
561.1, 1.5540
561.7, 1.5523
562.3, 1.5574
562.9, 1.5597
563.51, 1.5564
564.11, 1.5587
564.71, 1.5638
565.23, 1.5657
565.83, 1.5659
566.43, 1.5685
567.03, 1.5711
567.63, 1.5737
568.23, 1.5742
568.84, 1.5745
569.44, 1.5742
570.04, 1.5794
570.64, 1.5821
571.24, 1.5855
571.84, 1.5866
572.44, 1.5877
573.04, 1.5887
573.64, 1.5900
574.24, 1.5923
574.84, 1.5933
575.44, 1.5966
576.04, 1.6004
576.57, 1.6023
577.17, 1.5999
577.77, 1.6020
578.37, 1.6038
578.97, 1.6054
579.57, 1.6080
580.17, 1.6127
580.77, 1.6153
581.37, 1.6138
581.97, 1.6157
582.57, 1.6163
583.17, 1.6200
583.77, 1.6229
584.37, 1.6227
584.98, 1.6231
585.58, 1.6314
586.18, 1.6291
586.78, 1.6317
587.38, 1.6358
587.9, 1.6377
588.5, 1.6390
589.1, 1.6444
589.7, 1.6444
590.3, 1.6452
590.9, 1.6504
591.5, 1.6543
592.1, 1.6580
592.7, 1.6622
593.3, 1.6624
593.9, 1.6645
594.5, 1.6635
595.1, 1.6665
595.7, 1.6748
596.31, 1.6774
596.91, 1.6815
597.51, 1.6847
598.11, 1.6866
598.71, 1.6862
599.31, 1.6927
599.83, 1.6954
600.43, 1.7004
601.03, 1.7089
601.63, 1.7043
602.23, 1.7091
602.83, 1.7155
603.43, 1.7196
604.03, 1.7184
604.63, 1.7242
605.23, 1.7297
605.83, 1.7343
606.43, 1.7361
607.03, 1.7395
607.63, 1.7459
608.23, 1.7458
608.83, 1.7548
609.43, 1.7584
610.03, 1.7592
610.63, 1.7631
611.15, 1.7714
611.75, 1.7696
612.35, 1.7690
612.95, 1.7768
613.55, 1.7803
614.15, 1.7869
614.75, 1.7894
615.35, 1.7968
615.95, 1.7984
616.55, 1.8033
617.15, 1.8156
617.75, 1.8153
618.35, 1.8160
618.95, 1.8251
619.55, 1.8291
620.15, 1.8384
620.75, 1.8415
621.36, 1.8424
621.96, 1.8473
622.47, 1.8604
623.07, 1.8639
623.67, 1.8750
624.27, 1.8767
624.87, 1.8925
625.47, 1.8910
625.98, 1.8962
626.58, 1.8976
627.17, 1.9009
627.77, 1.9000
628.37, 1.9017
628.96, 1.9028
629.56, 1.9079
630.16, 1.9116
630.75, 1.9159
631.35, 1.9149
631.94, 1.9173
632.54, 1.9202
633.14, 1.9211
633.73, 1.9227
634.33, 1.9220
634.93, 1.9263
635.52, 1.9302
636.12, 1.9337
636.71, 1.9338
637.31, 1.9352
637.91, 1.9343
638.5, 1.9373
639.1, 1.9383
639.69, 1.9435
640.29, 1.9453
640.89, 1.9421
641.48, 1.9471
642.08, 1.9517
642.68, 1.9485
643.27, 1.9527
643.87, 1.9519
644.46, 1.9522
645.06, 1.9563
645.66, 1.9538
646.25, 1.9579
646.85, 1.9617
647.45, 1.9571
648.04, 1.9582
648.64, 1.9602
649.23, 1.9677
649.83, 1.9649
650.43, 1.9653
651.02, 1.9683
651.62, 1.9713
652.21, 1.9697
652.81, 1.9732
653.41, 1.9737
654., 1.9731
654.6, 1.9742
655.2, 1.9752
655.79, 1.9805
656.39, 1.9826
656.98, 1.9856
657.57, 1.9863
658.17, 1.9874
658.77, 1.9856
659.36, 1.9893
659.96, 1.9943
660.55, 1.9902
661.15, 1.9910
661.75, 1.9969
662.34, 1.9968
662.94, 1.9962
663.53, 1.9990
664.13, 2.0026
664.73, 2.0062
665.32, 2.0059
665.92, 2.0102
666.51, 2.0093
667.11, 2.0075
667.71, 2.0103
668.3, 2.0120
668.9, 2.0155
669.5, 2.0154
670.09, 2.0168
670.69, 2.0164
671.28, 2.0229
671.88, 2.0261
672.48, 2.0213
673.07, 2.0265
673.67, 2.0279
674.26, 2.0263
674.86, 2.0294
675.46, 2.0300
676.05, 2.0315
676.65, 2.0350
677.24, 2.0361
677.84, 2.0359
678.44, 2.0391
679.03, 2.0352
679.63, 2.0349
680.22, 2.0399
680.82, 2.0422
681.42, 2.0359
682.01, 2.0392
682.61, 2.0419
683.21, 2.0431
683.8, 2.0408
684.4, 2.0412
684.99, 2.0386
685.59, 2.0414
686.19, 2.0422
686.78, 2.0440
687.37, 2.0470
687.96, 2.0497
688.56, 2.0513
689.15, 2.0501
689.75, 2.0468
690.35, 2.0501
690.94, 2.0448
691.54, 2.0476
692.13, 2.0520
692.73, 2.0443
693.33, 2.0527
693.92, 2.0509
694.52, 2.0436
695.11, 2.0482
695.71, 2.0489
696.31, 2.0490
696.9, 2.0480
697.5, 2.0495
698.09, 2.0501
698.69, 2.0489
699.29, 2.0453
699.88, 2.0491
700.48, 2.0500
701.07, 2.0514
701.67, 2.0553
702.27, 2.0491
702.86, 2.0498
703.46, 2.0482
704.05, 2.0477
704.65, 2.0472
705.25, 2.0466
705.84, 2.0450
706.44, 2.0531
707.03, 2.0515
707.63, 2.0495
708.23, 2.0481
708.82, 2.0491
709.42, 2.0535
710.01, 2.0533
710.61, 2.0519
711.21, 2.0482
711.8, 2.0501
712.4, 2.0477
712.99, 2.0518
713.59, 2.0543
714.19, 2.0512
714.78, 2.0482
715.38, 2.0521
715.97, 2.0539
