Despujolsite, grr JZ, N'Chwaning III Mine, Kuruman, South Africa
4.31 mm, E perp c
400.17, 1.8266
400.77, 1.8596
401.37, 1.8401
401.97, 1.8594
402.57, 1.8622
403.18, 1.8844
403.73, 1.8977
404.33, 1.9004
404.93, 1.938
405.54, 1.9135
406.14, 1.9245
406.74, 1.9315
407.34, 1.9556
407.94, 1.9374
408.55, 1.971
409.15, 1.9925
409.75, 1.9804
410.35, 2.0081
410.95, 1.9927
411.56, 2.0284
412.16, 2.0221
412.76, 2.0471
413.36, 2.0367
413.97, 2.0341
414.57, 2.037
415.17, 2.0692
415.72, 2.0744
416.32, 2.0586
416.92, 2.0627
417.53, 2.0803
418.13, 2.0946
418.73, 2.0882
419.33, 2.1035
419.93, 2.107
420.54, 2.1281
421.14, 2.1582
421.74, 2.1564
422.34, 2.1617
422.94, 2.1773
423.55, 2.233
424.15, 2.2299
424.75, 2.2556
425.35, 2.2394
425.95, 2.26
426.56, 2.2645
427.11, 2.3052
427.71, 2.2928
428.31, 2.3259
428.91, 2.3531
429.51, 2.3459
430.12, 2.3409
430.72, 2.3475
431.32, 2.3693
431.92, 2.3542
432.52, 2.3629
433.12, 2.3857
433.73, 2.368
434.33, 2.3888
434.93, 2.3873
435.53, 2.3797
436.13, 2.4274
436.74, 2.4266
437.34, 2.4123
437.94, 2.4201
438.49, 2.4428
439.09, 2.4465
439.69, 2.4892
440.29, 2.4855
440.89, 2.5255
441.5, 2.5146
442.1, 2.5201
442.7, 2.5406
443.3, 2.5421
443.9, 2.548
444.5, 2.5694
445.11, 2.5812
445.71, 2.5846
446.31, 2.5916
446.91, 2.6148
447.51, 2.6111
448.12, 2.6197
448.72, 2.6099
449.32, 2.6224
449.86, 2.6482
450.47, 2.6535
451.07, 2.6625
451.67, 2.65
452.27, 2.689
452.87, 2.6722
453.47, 2.6947
454.08, 2.7063
454.68, 2.7067
455.28, 2.7268
455.88, 2.7157
456.48, 2.7359
457.08, 2.7527
457.69, 2.7662
458.29, 2.7504
458.89, 2.7613
459.49, 2.7967
460.09, 2.7848
460.69, 2.796
461.3, 2.8085
461.84, 2.8208
462.44, 2.8468
463.04, 2.8136
463.64, 2.8296
464.25, 2.87
464.85, 2.8356
465.45, 2.8376
466.05, 2.883
466.65, 2.8661
467.25, 2.8462
467.86, 2.863
468.46, 2.8714
469.06, 2.9006
469.66, 2.8965
470.26, 2.9124
470.86, 2.9104
471.47, 2.9037
472.07, 2.9188
472.67, 2.955
473.21, 2.9589
473.81, 2.9465
474.41, 2.9487
475.01, 2.9609
475.62, 2.9714
476.22, 2.9441
476.82, 2.9795
477.42, 3.0092
478.02, 2.9951
478.62, 2.993
479.22, 3.0301
479.83, 3.0137
480.43, 3.0221
481.03, 3.0422
481.63, 3.0643
482.23, 3.0327
482.83, 3.0433
483.43, 3.0644
484.04, 3.0608
484.58, 3.0715
485.18, 3.0481
485.78, 3.0465
486.38, 3.06
486.98, 3.0587
487.58, 3.0677
488.18, 3.0458
488.78, 3.047
489.39, 3.047
489.99, 3.0285
490.59, 3.0417
491.19, 3.0334
491.79, 3.0546
492.39, 3.0151
492.99, 3.0548
493.6, 3.0311
494.2, 3.0447
494.8, 3.0441
495.4, 3.0219
495.94, 3.0437
496.54, 3.0824
497.14, 3.0408
497.74, 3.0539
498.34, 3.0669
498.94, 3.0818
499.54, 3.0365
500.15, 3.0517
500.75, 3.0638
501.35, 3.0738
501.95, 3.0503
502.55, 3.0712
503.15, 3.0454
503.75, 3.083
504.36, 3.075
504.96, 3.0746
505.56, 3.0575
506.16, 3.0705
506.76, 3.0576
507.36, 3.0649
507.9, 3.0656
508.5, 3.0401
509.1, 3.0081
509.7, 2.9945
510.3, 2.9677
510.9, 2.9134
511.5, 2.8425
512.11, 2.7605
512.71, 2.6699
513.31, 2.5556
513.91, 2.4443
514.51, 2.3276
515.11, 2.2081
515.71, 2.0892
516.31, 1.9804
516.91, 1.8739
